team,pos,season
CFR Cluj,1,2022-23
Farul Constanța,2,2022-23
Rapid Bucureşti,3,2022-23
Steaua Bucureşti,4,2022-23
CS Universitatea Craiova,5,2022-23
AFC Herrmannstadt Sibiu,6,2022-23
Sepsi OSK,7,2022-23
Petrolul Ploieşti,8,2022-23
FC Chindia Târgovişte,9,2022-23
FC U Craiova 1948,10,2022-23
Botoşani,11,2022-23
FC Voluntari,12,2022-23
Argeș Pitești,13,2022-23
Universitatea Cluj,14,2022-23
AFC UTA Arad,15,2022-23
CS Mioveni,16,2022-23
CFR Cluj,1,2021-22
Steaua Bucureşti,2,2021-22
CS Universitatea Craiova,3,2021-22
Botoşani,4,2021-22
Sepsi OSK,5,2021-22
Rapid Bucureşti,6,2021-22
FC Voluntari,7,2021-22
CS Mioveni,8,2021-22
FC Chindia Târgovişte,9,2021-22
FC U Craiova 1948,10,2021-22
Dinamo Bucureşti,11,2021-22
Gaz Metan Mediaş,12,2021-22
AFC UTA Arad,13,2021-22
Farul Constanța,14,2021-22
Argeș Pitești,15,2021-22
ACS FC Academica Clinceni,16,2021-22
CFR Cluj,1,2020-21
Steaua Bucureşti,2,2020-21
CS Universitatea Craiova,3,2020-21
Sepsi OSK,4,2020-21
FC Chindia Târgovişte,5,2020-21
ACS FC Academica Clinceni,6,2020-21
Argeș Pitești,7,2020-21
Gaz Metan Mediaş,8,2020-21
Botoşani,9,2020-21
AFC UTA Arad,10,2020-21
Viitorul Constanţa,11,2020-21
FC Voluntari,12,2020-21
Dinamo Bucureşti,13,2020-21
Astra Ploieşti,14,2020-21
AFC Herrmannstadt Sibiu,15,2020-21
CSMS Iaşi,16,2020-21
CFR Cluj,1,2019-20
CS Universitatea Craiova,2,2019-20
Viitorul Constanţa,3,2019-20
Astra Ploieşti,4,2019-20
Botoşani,5,2019-20
Steaua Bucureşti,6,2019-20
Sepsi OSK,7,2019-20
Gaz Metan Mediaş,8,2019-20
AFC Herrmannstadt Sibiu,9,2019-20
Dinamo Bucureşti,10,2019-20
FC Voluntari,11,2019-20
ACS FC Academica Clinceni,12,2019-20
CSMS Iaşi,13,2019-20
FC Chindia Târgovişte,14,2019-20
CFR Cluj,1,2018-19
Steaua Bucureşti,2,2018-19
CS Universitatea Craiova,3,2018-19
Viitorul Constanţa,4,2018-19
Dinamo Bucureşti,5,2018-19
Gaz Metan Mediaş,6,2018-19
Botoşani,7,2018-19
CSMS Iaşi,8,2018-19
Astra Ploieşti,9,2018-19
AFC Herrmannstadt Sibiu,10,2018-19
Sepsi OSK,11,2018-19
FC Dunărea Călăraşi,12,2018-19
FC Voluntari,13,2018-19
Concordia Chiajna,14,2018-19
CFR Cluj,1,2017-18
Steaua Bucureşti,2,2017-18
Dinamo Bucureşti,3,2017-18
CS Universitatea Craiova,4,2017-18
Botoşani,5,2017-18
Viitorul Constanţa,6,2017-18
Astra Ploieşti,7,2017-18
Concordia Chiajna,8,2017-18
CSMS Iaşi,9,2017-18
Sepsi OSK,10,2017-18
FC Voluntari,11,2017-18
ACS Poli Timişoara,12,2017-18
Gaz Metan Mediaş,13,2017-18
Juventus Bucureşti,14,2017-18
Viitorul Constanţa,1,2016-17
Steaua Bucureşti,2,2016-17
Dinamo Bucureşti,3,2016-17
CFR Cluj,4,2016-17
Gaz Metan Mediaş,5,2016-17
CSMS Iaşi,6,2016-17
CS Universitatea Craiova,7,2016-17
FC Voluntari,8,2016-17
Astra Ploieşti,9,2016-17
ACS Poli Timişoara,10,2016-17
Botoşani,11,2016-17
Pandurii Târgu Jiu,12,2016-17
Concordia Chiajna,13,2016-17
Târgu Mureş,14,2016-17
Astra Ploieşti,1,2015-16
Steaua Bucureşti,2,2015-16
Pandurii Târgu Jiu,3,2015-16
Dinamo Bucureşti,4,2015-16
CFR Cluj,5,2015-16
CSMS Iaşi,6,2015-16
CS Universitatea Craiova,7,2015-16
Viitorul Constanţa,8,2015-16
Botoşani,9,2015-16
Concordia Chiajna,10,2015-16
Târgu Mureş,11,2015-16
FC Voluntari,12,2015-16
ACS Poli Timişoara,13,2015-16
Petrolul Ploieşti,14,2015-16
Astra Ploieşti,1,2014-15
Braşov,2,2014-15
Botoşani,3,2014-15
Oţelul Galaţi,4,2014-15
CS Universitatea Craiova,5,2014-15
Viitorul Constanţa,6,2014-15
Universitatea Cluj,7,2014-15
CSMS Iaşi,8,2014-15
Pandurii Târgu Jiu,9,2014-15
Concordia Chiajna,10,2014-15
Rapid Bucureşti,11,2014-15
Gaz Metan Mediaş,12,2014-15
Târgu Mureş,13,2014-15
CFR Cluj,14,2014-15
Petrolul Ploieşti,15,2014-15
Steaua Bucureşti,16,2014-15
Dinamo Bucureşti,17,2014-15
Ceahlăul Piatra,18,2014-15
Steaua Bucureşti,1,2013-14
Astra Ploieşti,2,2013-14
Petrolul Ploieşti,3,2013-14
Dinamo Bucureşti,4,2013-14
FC Vaslui,5,2013-14
CFR Cluj,6,2013-14
Pandurii Târgu Jiu,7,2013-14
Botoşani,8,2013-14
Ceahlăul Piatra,9,2013-14
Oţelul Galaţi,10,2013-14
Viitorul Constanţa,11,2013-14
Universitatea Cluj,12,2013-14
Gaz Metan Mediaş,13,2013-14
Concordia Chiajna,14,2013-14
Braşov,15,2013-14
ACS Poli Timişoara,16,2013-14
Săgeata Năvodari,17,2013-14
Corona Braşov,18,2013-14
Steaua Bucureşti,1,2012-13
Pandurii Târgu Jiu,2,2012-13
Petrolul Ploieşti,3,2012-13
Astra Ploieşti,4,2012-13
FC Vaslui,5,2012-13
Dinamo Bucureşti,6,2012-13
Braşov,7,2012-13
CFR Cluj,8,2012-13
Rapid Bucureşti,9,2012-13
Gaz Metan Mediaş,10,2012-13
Oţelul Galaţi,11,2012-13
Universitatea Cluj,12,2012-13
Viitorul Constanţa,13,2012-13
Ceahlăul Piatra,14,2012-13
Turnu Severin,15,2012-13
Concordia Chiajna,16,2012-13
CSMS Iaşi,17,2012-13
Gloria Bistrita,18,2012-13
CFR Cluj,1,2011-12
FC Vaslui,2,2011-12
Rapid Bucureşti,3,2011-12
Steaua Bucureşti,4,2011-12
Dinamo Bucureşti,5,2011-12
Oţelul Galaţi,6,2011-12
Universitatea Cluj,7,2011-12
Pandurii Târgu Jiu,8,2011-12
Braşov,9,2011-12
Concordia Chiajna,10,2011-12
Ceahlăul Piatra,11,2011-12
Astra Ploieşti,12,2011-12
Gaz Metan Mediaş,13,2011-12
Petrolul Ploieşti,14,2011-12
Târgu Mureş,15,2011-12
Voinţa Sibiu,16,2011-12
Sportul Studentesc,17,2011-12
CS Mioveni,18,2011-12
Oţelul Galaţi,1,2010-11
Timişoara,2,2010-11
FC Vaslui,3,2010-11
Rapid Bucureşti,4,2010-11
Steaua Bucureşti,5,2010-11
Dinamo Bucureşti,6,2010-11
Gaz Metan Mediaş,7,2010-11
Universitatea Cluj,8,2010-11
Astra Ploieşti,9,2010-11
CFR Cluj,10,2010-11
Târgu Mureş,11,2010-11
Braşov,12,2010-11
Pandurii Târgu Jiu,13,2010-11
Gloria Bistrita,14,2010-11
Universitatea Craiova,15,2010-11
Victoria Branesti,16,2010-11
Unirea Urziceni,17,2010-11
Sportul Studentesc,18,2010-11
CFR Cluj,1,2009-10
Unirea Urziceni,2,2009-10
FC Vaslui,3,2009-10
Steaua Bucureşti,4,2009-10
Timişoara,5,2009-10
Dinamo Bucureşti,6,2009-10
Rapid Bucureşti,7,2009-10
Oţelul Galaţi,8,2009-10
Braşov,9,2009-10
Gaz Metan Mediaş,10,2009-10
Gloria Bistrita,11,2009-10
Universitatea Craiova,12,2009-10
Astra Ploieşti,13,2009-10
Internaţional Curtea de Argeş,14,2009-10
Pandurii Târgu Jiu,15,2009-10
Politehnica Iaşi,16,2009-10
Ceahlăul Piatra,17,2009-10
Unirea Alba Iulia,18,2009-10
