team,pos,season
Alianza FC,1,2023-23
Águila,2,2023-23
L.A. Firpo,3,2023-23
Once Municipal,4,2023-23
CD FAS,5,2023-23
Jocoro FC,6,2023-23
CD Chalatenango,7,2023-23
Isidro Metapán,8,2023-23
Dragón,9,2023-23
Atlético Marte,10,2023-23
Santa Tecla FC,11,2023-23
CD Platense Municipal,12,2023-23
Alianza FC,1,2022-22
Jocoro FC,2,2022-22
Isidro Metapán,3,2022-22
Dragón,4,2022-22
CD FAS,5,2022-22
Águila,6,2022-22
CD Platense Municipal,7,2022-22
Santa Tecla FC,8,2022-22
Atlético Marte,9,2022-22
Once Municipal,10,2022-22
CD Chalatenango,11,2022-22
L.A. Firpo,12,2022-22
Alianza FC,1,2022-22
Águila,2,2022-22
CD Chalatenango,3,2022-22
CD Platense Municipal,4,2022-22
CD FAS,5,2022-22
Isidro Metapán,6,2022-22
Jocoro FC,7,2022-22
L.A. Firpo,8,2022-22
Municipal Limeño,9,2022-22
Once Municipal,10,2022-22
Atlético Marte,11,2022-22
Santa Tecla FC,12,2022-22
Alianza FC,1,2021-21
CD FAS,2,2021-21
L.A. Firpo,3,2021-21
Once Municipal,4,2021-21
Águila,5,2021-21
CD Platense Municipal,6,2021-21
CD Chalatenango,7,2021-21
Jocoro FC,8,2021-21
Atlético Marte,9,2021-21
Santa Tecla FC,10,2021-21
Isidro Metapán,11,2021-21
Municipal Limeño,12,2021-21
Once Municipal,1,2020-20
CD EL Vencedor,2,2020-20
Alianza FC,3,2020-20
Independiente FC,4,2020-20
CD FAS,5,2020-20
Isidro Metapán,6,2020-20
Municipal Limeño,7,2020-20
Águila,8,2020-20
Jocoro FC,9,2020-20
Santa Tecla FC,10,2020-20
CD Sonsonate,11,2020-20
CD Chalatenango,12,2020-20
Alianza FC,1,2020-20
CD FAS,2,2020-20
Águila,3,2020-20
Once Municipal,4,2020-20
Municipal Limeño,5,2020-20
Jocoro FC,6,2020-20
L.A. Firpo,7,2020-20
Isidro Metapán,8,2020-20
Santa Tecla FC,9,2020-20
CD Sonsonate,10,2020-20
CD Chalatenango,11,2020-20
Atlético Marte,12,2020-20
Once Municipal,1,2020-20
CD EL Vencedor,2,2020-20
Alianza FC,3,2020-20
Independiente FC,4,2020-20
CD FAS,5,2020-20
Isidro Metapán,6,2020-20
Municipal Limeño,7,2020-20
Águila,8,2020-20
Jocoro FC,9,2020-20
Santa Tecla FC,10,2020-20
CD Sonsonate,11,2020-20
CD Chalatenango,12,2020-20
Alianza FC,1,2019-19
Águila,2,2019-19
Municipal Limeño,3,2019-19
Isidro Metapán,4,2019-19
CD Chalatenango,5,2019-19
Santa Tecla FC,6,2019-19
CD FAS,7,2019-19
Pasaquina F.C.,8,2019-19
Jocoro FC,9,2019-19
CD Audaz,10,2019-19
L.A. Firpo,11,2019-19
CD Sonsonate,12,2019-19
Alianza FC,1,2019-19
Águila,2,2019-19
Municipal Limeño,3,2019-19
Isidro Metapán,4,2019-19
CD Chalatenango,5,2019-19
Santa Tecla FC,6,2019-19
CD FAS,7,2019-19
Pasaquina F.C.,8,2019-19
Jocoro FC,9,2019-19
CD Audaz,10,2019-19
L.A. Firpo,11,2019-19
CD Sonsonate,12,2019-19
Alianza FC,1,2018-18
Santa Tecla FC,2,2018-18
Águila,3,2018-18
CD FAS,4,2018-18
Isidro Metapán,5,2018-18
CD Audaz,6,2018-18
CD Chalatenango,7,2018-18
Municipal Limeño,8,2018-18
Jocoro FC,9,2018-18
Pasaquina F.C.,10,2018-18
CD Sonsonate,11,2018-18
L.A. Firpo,12,2018-18
Alianza FC,1,2018-18
Santa Tecla FC,2,2018-18
CD FAS,3,2018-18
Águila,4,2018-18
L.A. Firpo,5,2018-18
CD Audaz,6,2018-18
Municipal Limeño,7,2018-18
CD Sonsonate,8,2018-18
Pasaquina F.C.,9,2018-18
CD Chalatenango,10,2018-18
Dragón,11,2018-18
Isidro Metapán,12,2018-18
Alianza FC,1,2017-17
Isidro Metapán,2,2017-17
Santa Tecla FC,3,2017-17
CD FAS,4,2017-17
Águila,5,2017-17
Municipal Limeño,6,2017-17
Pasaquina F.C.,7,2017-17
CD Chalatenango,8,2017-17
CD Audaz,9,2017-17
Dragón,10,2017-17
CD Sonsonate,11,2017-17
L.A. Firpo,12,2017-17
Alianza FC,1,2017-17
Águila,2,2017-17
Santa Tecla FC,3,2017-17
Isidro Metapán,4,2017-17
L.A. Firpo,5,2017-17
CD FAS,6,2017-17
Municipal Limeño,7,2017-17
Pasaquina F.C.,8,2017-17
UES,9,2017-17
Dragón,10,2017-17
CD Sonsonate,11,2017-17
CD Chalatenango,12,2017-17
CD Sonsonate,1,2016-16
Águila,2,2016-16
Santa Tecla FC,3,2016-16
Alianza FC,4,2016-16
Isidro Metapán,5,2016-16
Municipal Limeño,6,2016-16
CD FAS,7,2016-16
Pasaquina F.C.,8,2016-16
L.A. Firpo,9,2016-16
CD Chalatenango,10,2016-16
Dragón,11,2016-16
UES,12,2016-16
Santa Tecla FC,1,2016-16
Águila,2,2016-16
Juventud Independiente,3,2016-16
Alianza FC,4,2016-16
Isidro Metapán,5,2016-16
Dragón,6,2016-16
Pasaquina F.C.,7,2016-16
CD Chalatenango,8,2016-16
UES,9,2016-16
CD Sonsonate,10,2016-16
CD FAS,11,2016-16
Atlético Marte,12,2016-16
Isidro Metapán,1,2015-15
Águila,2,2015-15
Alianza FC,3,2015-15
CD FAS,4,2015-15
Santa Tecla FC,5,2015-15
CD Chalatenango,6,2015-15
Pasaquina F.C.,7,2015-15
Dragón,8,2015-15
Juventud Independiente,9,2015-15
CD Sonsonate,10,2015-15
Atlético Marte,11,2015-15
UES,12,2015-15
Alianza FC,1,2015-15
Santa Tecla FC,2,2015-15
Pasaquina F.C.,3,2015-15
Juventud Independiente,4,2015-15
Isidro Metapán,5,2015-15
Águila,6,2015-15
CD FAS,7,2015-15
Dragón,8,2015-15
Atlético Marte,9,2015-15
UES,10,2015-15
Santa Tecla FC,1,2014-14
Águila,2,2014-14
CD FAS,3,2014-14
Isidro Metapán,4,2014-14
Juventud Independiente,5,2014-14
Dragón,6,2014-14
UES,7,2014-14
Alianza FC,8,2014-14
Atlético Marte,9,2014-14
Pasaquina F.C.,10,2014-14
CD FAS,1,2014-14
Isidro Metapán,2,2014-14
Juventud Independiente,3,2014-14
Dragón,4,2014-14
Águila,5,2014-14
Santa Tecla FC,6,2014-14
L.A. Firpo,7,2014-14
UES,8,2014-14
Atlético Marte,9,2014-14
Alianza FC,10,2014-14
Atlético Marte,1,2013-13
Juventud Independiente,2,2013-13
CD FAS,3,2013-13
Isidro Metapán,4,2013-13
Alianza FC,5,2013-13
Dragón,6,2013-13
UES,7,2013-13
Santa Tecla FC,8,2013-13
Águila,9,2013-13
L.A. Firpo,10,2013-13
CD FAS,1,2013-13
L.A. Firpo,2,2013-13
Juventud Independiente,3,2013-13
Alianza FC,4,2013-13
Santa Tecla FC,5,2013-13
Isidro Metapán,6,2013-13
Atlético Marte,7,2013-13
Once Municipal,8,2013-13
Águila,9,2013-13
UES,10,2013-13
Isidro Metapán,1,2012-12
Alianza FC,2,2012-12
CD FAS,3,2012-12
Águila,4,2012-12
L.A. Firpo,5,2012-12
Atlético Marte,6,2012-12
Santa Tecla FC,7,2012-12
UES,8,2012-12
Juventud Independiente,9,2012-12
Once Municipal,10,2012-12
Isidro Metapán,1,2012-12
CD FAS,2,2012-12
Águila,3,2012-12
L.A. Firpo,4,2012-12
Once Municipal,5,2012-12
Juventud Independiente,6,2012-12
UES,7,2012-12
Atlético Marte,8,2012-12
Alianza FC,9,2012-12
Vista Hermosa,10,2012-12
Isidro Metapán,1,2011-11
L.A. Firpo,2,2011-11
CD FAS,3,2011-11
Once Municipal,4,2011-11
Águila,5,2011-11
Alianza FC,6,2011-11
Atlético Marte,7,2011-11
Juventud Independiente,8,2011-11
UES,9,2011-11
Vista Hermosa,10,2011-11
Alianza FC,1,2011-11
CD FAS,2,2011-11
Isidro Metapán,3,2011-11
Águila,4,2011-11
Atlético Marte,5,2011-11
Vista Hermosa,6,2011-11
L.A. Firpo,7,2011-11
UES,8,2011-11
Once Municipal,9,2011-11
Atlético Balboa,10,2011-11
Isidro Metapán,1,2010-10
Alianza FC,2,2010-10
L.A. Firpo,3,2010-10
Águila,4,2010-10
Atlético Balboa,5,2010-10
Vista Hermosa,6,2010-10
Atlético Marte,7,2010-10
CD FAS,8,2010-10
UES,9,2010-10
Once Municipal,10,2010-10
L.A. Firpo,1,2010-10
Águila,2,2010-10
Vista Hermosa,3,2010-10
Isidro Metapán,4,2010-10
Atlético Balboa,5,2010-10
Alianza FC,6,2010-10
CD FAS,7,2010-10
Municipal Limeño,8,2010-10
Atlético Marte,9,2010-10
Alacranes del Norte,10,2010-10
CD FAS,1,2009-09
Águila,2,2009-09
L.A. Firpo,3,2009-09
Vista Hermosa,4,2009-09
Isidro Metapán,5,2009-09
Atlético Marte,6,2009-09
Municipal Limeño,7,2009-09
Alianza FC,8,2009-09
Alacranes del Norte,9,2009-09
Atlético Balboa,10,2009-09
