team,pos,season
Slovan Bratislava,1,2022-23
Dunajska Streda,2,2022-23
Spartak Trnava,3,2022-23
Podbrezová,4,2022-23
Ružomberok,5,2022-23
Žilina,6,2022-23
Dukla Banska Bystrica,7,2022-23
Zemplin Michalovce,8,2022-23
Trenčín,9,2022-23
Zlate Moravce,10,2022-23
Skalica,11,2022-23
MFK Tatran Liptovský Mikuláš,12,2022-23
Slovan Bratislava,1,2021-22
Ružomberok,2,2021-22
Spartak Trnava,3,2021-22
Trenčín,4,2021-22
Dunajska Streda,5,2021-22
Zemplin Michalovce,6,2021-22
ŠKF Sereď,7,2021-22
Žilina,8,2021-22
FK Senica,9,2021-22
Zlate Moravce,10,2021-22
MFK Tatran Liptovský Mikuláš,11,2021-22
FK Pohronie,12,2021-22
Slovan Bratislava,1,2020-21
Dunajska Streda,2,2020-21
Spartak Trnava,3,2020-21
Žilina,4,2020-21
ŠKF Sereď,5,2020-21
Zlate Moravce,6,2020-21
Ružomberok,7,2020-21
FK Pohronie,8,2020-21
Zemplin Michalovce,9,2020-21
FK Senica,10,2020-21
Trenčín,11,2020-21
Nitra,12,2020-21
Slovan Bratislava,1,2019-20
Žilina,2,2019-20
Dunajska Streda,3,2019-20
Trenčín,4,2019-20
Spartak Trnava,5,2019-20
Ružomberok,6,2019-20
Zlate Moravce,7,2019-20
Zemplin Michalovce,8,2019-20
Nitra,9,2019-20
ŠKF Sereď,10,2019-20
FK Senica,11,2019-20
FK Pohronie,12,2019-20
Slovan Bratislava,1,2018-19
Dunajska Streda,2,2018-19
Žilina,3,2018-19
Ružomberok,4,2018-19
Spartak Trnava,5,2018-19
ŠKF Sereď,6,2018-19
FK Senica,7,2018-19
Zemplin Michalovce,8,2018-19
Zlate Moravce,9,2018-19
Nitra,10,2018-19
Trenčín,11,2018-19
Podbrezová,12,2018-19
Spartak Trnava,1,2017-18
Slovan Bratislava,2,2017-18
Dunajska Streda,3,2017-18
Žilina,4,2017-18
Trenčín,5,2017-18
Nitra,6,2017-18
Zemplin Michalovce,7,2017-18
Ružomberok,8,2017-18
Podbrezová,9,2017-18
Zlate Moravce,10,2017-18
FK Senica,11,2017-18
Tatran Prešov,12,2017-18
Žilina,1,2016-17
Slovan Bratislava,2,2016-17
Ružomberok,3,2016-17
Podbrezová,4,2016-17
Trenčín,5,2016-17
Spartak Trnava,6,2016-17
Dunajska Streda,7,2016-17
Zemplin Michalovce,8,2016-17
FK Senica,9,2016-17
Spartak Myjava,10,2016-17
Zlate Moravce,11,2016-17
Tatran Prešov,12,2016-17
Trenčín,1,2015-16
Slovan Bratislava,2,2015-16
Spartak Myjava,3,2015-16
Spartak Trnava,4,2015-16
Žilina,5,2015-16
Ružomberok,6,2015-16
Dunajska Streda,7,2015-16
Podbrezová,8,2015-16
Zlate Moravce,9,2015-16
FK Senica,10,2015-16
Zemplin Michalovce,11,2015-16
Skalica,12,2015-16
Dukla Banska Bystrica,1,2014-15
Žilina,2,2014-15
Spartak Trnava,3,2014-15
Trenčín,4,2014-15
Slovan Bratislava,5,2014-15
Ružomberok,6,2014-15
Podbrezová,7,2014-15
Spartak Myjava,8,2014-15
Košice,9,2014-15
FK Senica,10,2014-15
Dunajska Streda,11,2014-15
Zlate Moravce,12,2014-15
Slovan Bratislava,1,2013-14
Trenčín,2,2013-14
Spartak Trnava,3,2013-14
Ružomberok,4,2013-14
Košice,5,2013-14
FK Senica,6,2013-14
Spartak Myjava,7,2013-14
Dukla Banska Bystrica,8,2013-14
Žilina,9,2013-14
Zlate Moravce,10,2013-14
Dunajska Streda,11,2013-14
Nitra,12,2013-14
Slovan Bratislava,1,2012-13
FK Senica,2,2012-13
Trenčín,3,2012-13
Spartak Myjava,4,2012-13
Košice,5,2012-13
Ružomberok,6,2012-13
Žilina,7,2012-13
Zlate Moravce,8,2012-13
Nitra,9,2012-13
Dukla Banska Bystrica,10,2012-13
Spartak Trnava,11,2012-13
Tatran Prešov,12,2012-13
Žilina,1,2011-12
Spartak Trnava,2,2011-12
Slovan Bratislava,3,2011-12
FK Senica,4,2011-12
Trenčín,5,2011-12
Ružomberok,6,2011-12
Zlate Moravce,7,2011-12
Nitra,8,2011-12
Dukla Banska Bystrica,9,2011-12
Tatran Prešov,10,2011-12
Košice,11,2011-12
Dunajska Streda,12,2011-12
Slovan Bratislava,1,2010-11
FK Senica,2,2010-11
Žilina,3,2010-11
Spartak Trnava,4,2010-11
Dukla Banska Bystrica,5,2010-11
Zlate Moravce,6,2010-11
Ružomberok,7,2010-11
Nitra,8,2010-11
Dunajska Streda,9,2010-11
Košice,10,2010-11
Tatran Prešov,11,2010-11
Dubnica,12,2010-11
Žilina,1,2009-10
Slovan Bratislava,2,2009-10
Dukla Banska Bystrica,3,2009-10
Nitra,4,2009-10
Ružomberok,5,2009-10
FK Senica,6,2009-10
Spartak Trnava,7,2009-10
Tatran Prešov,8,2009-10
Dubnica,9,2009-10
Dunajska Streda,10,2009-10
Košice,11,2009-10
Petržalka,12,2009-10
