team,pos,season
AS Nianan,1,2014-15
Olympique de Missira,2,2014-15
Centre Salif Kéita,3,2014-15
Bakaridjan de Barouéli,4,2014-15
AC Mamahira,5,2014-15
Sabana de Mopti,6,2014-15
Onze Créateurs,7,2014-15
AS Réal Bamako,8,2014-15
AS Police,9,2014-15
AS Avenir de Tombouctou,10,2014-15
AS Bamako,11,2014-15
Stade Malien Bamako,12,2014-15
Duguwolofila,13,2014-15
Djoliba AC,14,2014-15
Olympique de Bamako,15,2014-15
USFAS Bamako,16,2014-15
Olympique de Bamako,1,2013-14
Stade Malien Bamako,2,2013-14
Djoliba AC,3,2013-14
AS Réal Bamako,4,2013-14
Duguwolofila,5,2013-14
Bakaridjan de Barouéli,6,2013-14
USFAS Bamako,7,2013-14
Olympique de Missira,8,2013-14
AS Eliwidj FC,9,2013-14
Centre Salif Kéita,10,2013-14
Onze Créateurs,11,2013-14
AS Police,12,2013-14
AS Nianan,13,2013-14
Office Niger Sports,14,2013-14
Debo Club,15,2013-14
Stade Malien Bamako,1,2012-13
Djoliba AC,2,2012-13
AS Réal Bamako,3,2012-13
Onze Créateurs,4,2012-13
Olympique de Bamako,5,2012-13
Bakaridjan de Barouéli,6,2012-13
Olympique de Missira,7,2012-13
Duguwolofila,8,2012-13
Jeanne d'Arc de Bamako,9,2012-13
AS Nianan,10,2012-13
USFAS Bamako,11,2012-13
Centre Salif Kéita,12,2012-13
AS Korofina,13,2012-13
Office Niger Sports,14,2012-13
AS Bamako,15,2012-13
AS Korofina,16,2012-13
Atar Club,17,2012-13
AS Police,18,2012-13
Sigui,19,2012-13
Jeanne d'Arc de Bamako,20,2012-13
Stade Malien Sikasso,21,2012-13
Atar Club,22,2012-13
Djoliba AC,1,2011-12
Bakaridjan de Barouéli,2,2011-12
Jeanne d'Arc de Bamako,3,2011-12
Stade Malien Bamako,4,2011-12
AS Korofina,5,2011-12
Duguwolofila,6,2011-12
Olympique de Missira,7,2011-12
Olympique de Bamako,8,2011-12
AS Réal Bamako,9,2011-12
Sigui,10,2011-12
AS Bamako,11,2011-12
Onze Créateurs,12,2011-12
Centre Salif Kéita,13,2011-12
AS Nianan,14,2011-12
Stade Malien Sikasso,15,2011-12
AS Police,16,2011-12
Stade Malien Bamako,1,2010-11
AS Réal Bamako,2,2010-11
Djoliba AC,3,2010-11
Jeanne d'Arc de Bamako,4,2010-11
Olympique de Bamako,5,2010-11
Duguwolofila,6,2010-11
Bakaridjan de Barouéli,7,2010-11
AS Bamako,8,2010-11
AS Police,9,2010-11
AS Korofina,10,2010-11
Centre Salif Kéita,11,2010-11
Onze Créateurs,12,2010-11
USFAS Bamako,13,2010-11
CAS de Sévaré,14,2010-11
Stade Malien Bamako,1,2009-10
Djoliba AC,2,2009-10
Centre Salif Kéita,3,2009-10
Olympique de Bamako,4,2009-10
Jeanne d'Arc de Bamako,5,2009-10
AS Réal Bamako,6,2009-10
AS Police,7,2009-10
AS Korofina,8,2009-10
Duguwolofila,9,2009-10
Onze Créateurs,10,2009-10
USFAS Bamako,11,2009-10
Bakaridjan de Barouéli,12,2009-10
Sigui,13,2009-10
Stade Malien Sikasso,14,2009-10
