team,pos,season
Flora Tallinn,1,2022-22
FCI Levadia Tallinn,2,2022-22
Nomme Kalju FC (EST),3,2022-22
Paide Linnameeskond,4,2022-22
FC Kuressaare,5,2022-22
Tammeka,6,2022-22
Narva Trans,7,2022-22
Talinna Kalev,8,2022-22
Tallinna JK Legion,9,2022-22
Pärnu JK Vaprus,10,2022-22
FCI Levadia Tallinn,1,2021-21
Flora Tallinn,2,2021-21
Paide Linnameeskond,3,2021-21
Nomme Kalju FC (EST),4,2021-21
Tallinna JK Legion,5,2021-21
FC Kuressaare,6,2021-21
Tulevik Viljandi,7,2021-21
Narva Trans,8,2021-21
Tammeka,9,2021-21
Pärnu JK Vaprus,10,2021-21
Flora Tallinn,1,2020-20
Paide Linnameeskond,2,2020-20
FCI Levadia Tallinn,3,2020-20
Nomme Kalju FC (EST),4,2020-20
Tallinna JK Legion,5,2020-20
Tulevik Viljandi,6,2020-20
FC Kuressaare,7,2020-20
Tammeka,8,2020-20
Narva Trans,9,2020-20
Talinna Kalev,10,2020-20
Flora Tallinn,1,2019-19
FCI Levadia Tallinn,2,2019-19
Nomme Kalju FC (EST),3,2019-19
Paide Linnameeskond,4,2019-19
Tammeka,5,2019-19
Narva Trans,6,2019-19
Tulevik Viljandi,7,2019-19
Talinna Kalev,8,2019-19
FC Kuressaare,9,2019-19
Maardu Linnameeskond,10,2019-19
Nomme Kalju FC (EST),1,2018-18
Flora Tallinn,2,2018-18
FCI Levadia Tallinn,3,2018-18
Narva Trans,4,2018-18
Tammeka,5,2018-18
Paide Linnameeskond,6,2018-18
Talinna Kalev,7,2018-18
Tulevik Viljandi,8,2018-18
FC Kuressaare,9,2018-18
Pärnu JK Vaprus,10,2018-18
Flora Tallinn,1,2017-17
FCI Levadia Tallinn,2,2017-17
Nomme Kalju FC (EST),3,2017-17
FC Infonet Tallinn,4,2017-17
Narva Trans,5,2017-17
Paide Linnameeskond,6,2017-17
Sillamäe Kalev,7,2017-17
Tammeka,8,2017-17
Tulevik Viljandi,9,2017-17
Pärnu JK Vaprus,10,2017-17
FC Infonet Tallinn,1,2016-16
FCI Levadia Tallinn,2,2016-16
Nomme Kalju FC (EST),3,2016-16
Flora Tallinn,4,2016-16
Sillamäe Kalev,5,2016-16
Paide Linnameeskond,6,2016-16
Narva Trans,7,2016-16
Tammeka,8,2016-16
Paernu Linnameeskond,9,2016-16
Rakvere JK Tarvas,10,2016-16
Flora Tallinn,1,2015-15
FCI Levadia Tallinn,2,2015-15
Nomme Kalju FC (EST),3,2015-15
FC Infonet Tallinn,4,2015-15
Sillamäe Kalev,5,2015-15
Narva Trans,6,2015-15
Paide Linnameeskond,7,2015-15
Paernu Linnameeskond,8,2015-15
Tammeka,9,2015-15
Tulevik Viljandi,10,2015-15
FCI Levadia Tallinn,1,2014-14
Nomme Kalju FC (EST),2,2014-14
Sillamäe Kalev,3,2014-14
Flora Tallinn,4,2014-14
FC Infonet Tallinn,5,2014-14
Paide Linnameeskond,6,2014-14
Narva Trans,7,2014-14
Tammeka,8,2014-14
Johvi FC Lokomotiv,9,2014-14
Talinna Kalev,10,2014-14
FCI Levadia Tallinn,1,2013-13
Nomme Kalju FC (EST),2,2013-13
Sillamäe Kalev,3,2013-13
Flora Tallinn,4,2013-13
Paide Linnameeskond,5,2013-13
FC Infonet Tallinn,6,2013-13
Narva Trans,7,2013-13
Talinna Kalev,8,2013-13
Tammeka,9,2013-13
FC Kuressaare,10,2013-13
Nomme Kalju FC (EST),1,2012-12
FCI Levadia Tallinn,2,2012-12
Flora Tallinn,3,2012-12
Narva Trans,4,2012-12
Sillamäe Kalev,5,2012-12
Paide Linnameeskond,6,2012-12
FC Kuressaare,7,2012-12
Tulevik Viljandi,8,2012-12
Talinna Kalev,9,2012-12
Tammeka,10,2012-12
Flora Tallinn,1,2011-11
Nomme Kalju FC (EST),2,2011-11
FCI Levadia Tallinn,3,2011-11
Narva Trans,4,2011-11
Sillamäe Kalev,5,2011-11
Paide Linnameeskond,6,2011-11
Tammeka,7,2011-11
Tulevik Viljandi,8,2011-11
FC Kuressaare,9,2011-11
Ajax Lasnamäe,10,2011-11
Flora Tallinn,1,2010-10
FCI Levadia Tallinn,2,2010-10
Narva Trans,3,2010-10
Nomme Kalju FC (EST),4,2010-10
Sillamäe Kalev,5,2010-10
Tammeka,6,2010-10
Tulevik Viljandi,7,2010-10
Paide Linnameeskond,8,2010-10
FC Kuressaare,9,2010-10
Lootus,10,2010-10
Tamme Auto,11,2010-10
FCI Levadia Tallinn,1,2009-09
Narva Trans,2,2009-09
Sillamäe Kalev,3,2009-09
Flora Tallinn,4,2009-09
Nomme Kalju FC (EST),5,2009-09
Tulevik Viljandi,6,2009-09
FC Kuressaare,7,2009-09
Tammeka,8,2009-09
Paide Linnameeskond,9,2009-09
Talinna Kalev,10,2009-09
