team,pos,season
Olimpija Ljubljana,1,2022-23
Koper,2,2022-23
NK Celje,3,2022-23
Maribor,4,2022-23
Domžale,5,2022-23
Mura 05,6,2022-23
NK Bravo,7,2022-23
Gorica,8,2022-23
Radomlje,9,2022-23
NK Tabor Sežana,10,2022-23
Maribor,1,2021-22
Koper,2,2021-22
Olimpija Ljubljana,3,2021-22
Mura 05,4,2021-22
NK Bravo,5,2021-22
Radomlje,6,2021-22
Domžale,7,2021-22
NK Celje,8,2021-22
NK Tabor Sežana,9,2021-22
Aluminij,10,2021-22
Mura 05,1,2020-21
Maribor,2,2020-21
Olimpija Ljubljana,3,2020-21
Domžale,4,2020-21
NK Celje,5,2020-21
Aluminij,6,2020-21
NK Bravo,7,2020-21
Koper,8,2020-21
NK Tabor Sežana,9,2020-21
Gorica,10,2020-21
NK Celje,1,2019-20
Olimpija Ljubljana,2,2019-20
Maribor,3,2019-20
Aluminij,4,2019-20
NŠ Mura,5,2019-20
NK Bravo,6,2019-20
NK Tabor Sežana,7,2019-20
Domžale,8,2019-20
ND Triglav,9,2019-20
Rudar Velenje,10,2019-20
Maribor,1,2018-19
Olimpija Ljubljana,2,2018-19
Domžale,3,2018-19
NŠ Mura,4,2018-19
NK Celje,5,2018-19
Aluminij,6,2018-19
Rudar Velenje,7,2018-19
ND Triglav,8,2018-19
Gorica,9,2018-19
NK Krsko,10,2018-19
Maribor,1,2017-18
Olimpija Ljubljana,2,2017-18
Domžale,3,2017-18
NK Celje,4,2017-18
Rudar Velenje,5,2017-18
Gorica,6,2017-18
NK Krsko,7,2017-18
Aluminij,8,2017-18
ND Triglav,9,2017-18
Ankaran Hrvatini,10,2017-18
Maribor,1,2016-17
Gorica,2,2016-17
Olimpija Ljubljana,3,2016-17
Domžale,4,2016-17
NK Celje,5,2016-17
Koper,6,2016-17
Rudar Velenje,7,2016-17
NK Krsko,8,2016-17
Aluminij,9,2016-17
Radomlje,10,2016-17
Olimpija Ljubljana,1,2015-16
Maribor,2,2015-16
Domžale,3,2015-16
Gorica,4,2015-16
NK Celje,5,2015-16
Rudar Velenje,6,2015-16
NK Krsko,7,2015-16
Zavrč,8,2015-16
Koper,9,2015-16
NK Krka,10,2015-16
Olimpija Ljubljana,1,2014-15
Rudar Velenje,2,2014-15
NK Celje,3,2014-15
Gorica,4,2014-15
Radomlje,5,2014-15
Zavrč,6,2014-15
Maribor,7,2014-15
Domžale,8,2014-15
Koper,9,2014-15
NK Krka,10,2014-15
Maribor,1,2013-14
Koper,2,2013-14
Rudar Velenje,3,2013-14
Gorica,4,2013-14
Zavrč,5,2013-14
Domžale,6,2013-14
Olimpija Ljubljana,7,2013-14
NK Celje,8,2013-14
NK Krka,9,2013-14
ND Triglav,10,2013-14
Maribor,1,2012-13
Olimpija Ljubljana,2,2012-13
Domžale,3,2012-13
Koper,4,2012-13
NK Celje,5,2012-13
Gorica,6,2012-13
Rudar Velenje,7,2012-13
ND Triglav,8,2012-13
Mura 05,9,2012-13
Aluminij,10,2012-13
Maribor,1,2011-12
Olimpija Ljubljana,2,2011-12
Mura 05,3,2011-12
Koper,4,2011-12
Gorica,5,2011-12
Rudar Velenje,6,2011-12
Domžale,7,2011-12
NK Celje,8,2011-12
ND Triglav,9,2011-12
Nafta,10,2011-12
Maribor,1,2010-11
Domžale,2,2010-11
Koper,3,2010-11
Olimpija Ljubljana,4,2010-11
Gorica,5,2010-11
Rudar Velenje,6,2010-11
ND Triglav,7,2010-11
NK Celje,8,2010-11
Nafta,9,2010-11
Primorje,10,2010-11
Koper,1,2009-10
Maribor,2,2009-10
Gorica,3,2009-10
Olimpija Ljubljana,4,2009-10
NK Celje,5,2009-10
Rudar Velenje,6,2009-10
Nafta,7,2009-10
Domžale,8,2009-10
Drava,9,2009-10
Interblock,10,2009-10
