team,pos,season
AL Ansar SC,1,2022-23
Al-Bourj FC,2,2022-23
Nejmeh SC,3,2022-23
Shabab Al Sahel,4,2022-23
AL Ahed,5,2022-23
AL Safa,6,2022-23
AL Tadamon Sour,7,2022-23
Shabab AL Ghazieh SC,8,2022-23
Al-Hikma,9,2022-23
Tripoli AC,10,2022-23
Salam Zgharta,11,2022-23
Al Akhaa Al Ahli,12,2022-23
AL Ahed,1,2021-22
AL Ansar SC,2,2021-22
Nejmeh SC,3,2021-22
Tripoli AC,4,2021-22
Shabab Al Sahel,5,2021-22
Al-Hikma,6,2021-22
Al-Bourj FC,7,2021-22
Al Akhaa Al Ahli,8,2021-22
AL Safa,9,2021-22
AL Tadamon Sour,10,2021-22
Shabab El Bourj SC,11,2021-22
Sporting Beirut,12,2021-22
AL Ansar SC,1,2020-21
Nejmeh SC,2,2020-21
Shabab Al Sahel,3,2020-21
AL Safa,4,2020-21
AL Ahed,5,2020-21
Al-Bourj FC,6,2020-21
Shabab El Bourj SC,7,2020-21
Al Akhaa Al Ahli,8,2020-21
Tripoli AC,9,2020-21
AL Tadamon Sour,10,2020-21
Shabab AL Ghazieh SC,11,2020-21
Salam Zgharta,12,2020-21
AL Ansar SC,1,2019-20
Al-Bourj FC,2,2019-20
Nejmeh SC,3,2019-20
Shabab Al Sahel,4,2019-20
Al Akhaa Al Ahli,5,2019-20
AL Safa,6,2019-20
AL Ahed,7,2019-20
Salam Zgharta,8,2019-20
Tripoli AC,9,2019-20
Shabab El Bourj SC,10,2019-20
AL Tadamon Sour,11,2019-20
Shabab AL Ghazieh SC,12,2019-20
AL Ahed,1,2018-19
AL Ansar SC,2,2018-19
Nejmeh SC,3,2018-19
Al Akhaa Al Ahli,4,2018-19
Shabab Al Sahel,5,2018-19
Shabab AL Ghazieh SC,6,2018-19
AL Tadamon Sour,7,2018-19
Tripoli AC,8,2018-19
AL Safa,9,2018-19
Salam Zgharta,10,2018-19
Racing Beirut,11,2018-19
Bekaa SC,12,2018-19
AL Ahed,1,2017-18
Nejmeh SC,2,2017-18
AL Safa,3,2017-18
AL Ansar SC,4,2017-18
Al Akhaa Al Ahli,5,2017-18
Salam Zgharta,6,2017-18
AL Tadamon Sour,7,2017-18
Tripoli AC,8,2017-18
Racing Beirut,9,2017-18
Bekaa SC,10,2017-18
Al Shabab Al Arabi Beirut,11,2017-18
Al Islah Bourg Shamaly,12,2017-18
AL Ahed,1,2016-17
Salam Zgharta,2,2016-17
Nejmeh SC,3,2016-17
AL Safa,4,2016-17
AL Ansar SC,5,2016-17
Bekaa SC,6,2016-17
AL Tadamon Sour,7,2016-17
Racing Beirut,8,2016-17
Al Akhaa Al Ahli,9,2016-17
Tripoli AC,10,2016-17
Shabab Al Sahel,11,2016-17
Al Egtmaaey Tripoli,12,2016-17
AL Safa,1,2015-16
AL Ahed,2,2015-16
Nejmeh SC,3,2015-16
AL Ansar SC,4,2015-16
Bekaa SC,5,2015-16
Tripoli AC,6,2015-16
Racing Beirut,7,2015-16
Al Egtmaaey Tripoli,8,2015-16
Salam Zgharta,9,2015-16
Shabab AL Ghazieh SC,10,2015-16
Al-Hikma,11,2015-16
