team,pos,season
SC Dnipro-1,1,2022-23
Shakhtar Donetsk,2,2022-23
Dynamo Kyiv,3,2022-23
Zorya Luhansk,4,2022-23
Oleksandriya,5,2022-23
FC Kolos Kovalivka,6,2022-23
Vorskla Poltava,7,2022-23
Metalist 1925 Kharkiv,8,2022-23
Kryvbas,9,2022-23
Veres Rivne,10,2022-23
Metalist Kharkiv,11,2022-23
Rukh Vynnyky,12,2022-23
FC Minaj,13,2022-23
FK Inhulets' Petrove,14,2022-23
Chornomorets Odesa,15,2022-23
FC Lviv,16,2022-23
Shakhtar Donetsk,1,2021-22
Dynamo Kyiv,2,2021-22
SC Dnipro-1,3,2021-22
Zorya Luhansk,4,2021-22
Vorskla Poltava,5,2021-22
Oleksandriya,6,2021-22
FK Desna Chernihiv,7,2021-22
Veres Rivne,8,2021-22
FC Kolos Kovalivka,9,2021-22
FC Lviv,10,2021-22
Chornomorets Odesa,11,2021-22
FK Mariupol Illichivets',12,2021-22
Rukh Vynnyky,13,2021-22
Metalist 1925 Kharkiv,14,2021-22
FK Inhulets' Petrove,15,2021-22
FC Minaj,16,2021-22
Dynamo Kyiv,1,2020-21
Shakhtar Donetsk,2,2020-21
Zorya Luhansk,3,2020-21
FC Kolos Kovalivka,4,2020-21
Vorskla Poltava,5,2020-21
FK Desna Chernihiv,6,2020-21
SC Dnipro-1,7,2020-21
Oleksandriya,8,2020-21
FC Lviv,9,2020-21
Rukh Vynnyky,10,2020-21
FK Inhulets' Petrove,11,2020-21
FK Mariupol Illichivets',12,2020-21
Olimpik Donetsk,13,2020-21
FC Minaj,14,2020-21
Shakhtar Donetsk,1,2019-20
Zorya Luhansk,2,2019-20
FK Desna Chernihiv,3,2019-20
Dynamo Kyiv,4,2019-20
Oleksandriya,5,2019-20
SC Dnipro-1,6,2019-20
FK Mariupol Illichivets',7,2019-20
FC Kolos Kovalivka,8,2019-20
Vorskla Poltava,9,2019-20
Olimpik Donetsk,10,2019-20
FC Lviv,11,2019-20
Karpaty Lviv,12,2019-20
Shakhtar Donetsk,1,2018-19
Dynamo Kyiv,2,2018-19
Oleksandriya,3,2018-19
Zorya Luhansk,4,2018-19
FK Mariupol Illichivets',5,2018-19
Vorskla Poltava,6,2018-19
FK Desna Chernihiv,7,2018-19
Karpaty Lviv,8,2018-19
Olimpik Donetsk,9,2018-19
FC Lviv,10,2018-19
Chornomorets Odesa,11,2018-19
FC Arsenal Kiev,12,2018-19
Shakhtar Donetsk,1,2017-18
Dynamo Kyiv,2,2017-18
Vorskla Poltava,3,2017-18
Oleksandriya,4,2017-18
Zorya Luhansk,5,2017-18
Karpaty Lviv,6,2017-18
FK Mariupol Illichivets',7,2017-18
Olimpik Donetsk,8,2017-18
Veres Rivne,9,2017-18
FK Zirka Kirovohrad,10,2017-18
Chornomorets Odesa,11,2017-18
Stal Kamianske,12,2017-18
Shakhtar Donetsk,1,2016-17
Dynamo Kyiv,2,2016-17
Zorya Luhansk,3,2016-17
Olimpik Donetsk,4,2016-17
Vorskla Poltava,5,2016-17
Stal Kamianske,6,2016-17
Oleksandriya,7,2016-17
Chornomorets Odesa,8,2016-17
Dnipro Dnipropetrovsk,9,2016-17
Karpaty Lviv,10,2016-17
FK Zirka Kirovohrad,11,2016-17
Volyn,12,2016-17
Dynamo Kyiv,1,2015-16
Shakhtar Donetsk,2,2015-16
Dnipro Dnipropetrovsk,3,2015-16
Zorya Luhansk,4,2015-16
Vorskla Poltava,5,2015-16
Oleksandriya,6,2015-16
Volyn,7,2015-16
Karpaty Lviv,8,2015-16
Stal Kamianske,9,2015-16
Olimpik Donetsk,10,2015-16
Metalist Kharkiv,11,2015-16
Chornomorets Odesa,12,2015-16
Hoverla Uzhhorod,13,2015-16
Metalurh Zaporizhya,14,2015-16
Shakhtar Donetsk,1,2014-15
Vorskla Poltava,2,2014-15
Karpaty Lviv,3,2014-15
Hoverla Uzhhorod,4,2014-15
FK Mariupol Illichivets',5,2014-15
Olimpik Donetsk,6,2014-15
Metalurh Donetsk,7,2014-15
Metalurh Zaporizhya,8,2014-15
Volyn,9,2014-15
Metalist Kharkiv,10,2014-15
Chornomorets Odesa,11,2014-15
Dynamo Kyiv,12,2014-15
Dnipro Dnipropetrovsk,13,2014-15
Zorya Luhansk,14,2014-15
Shakhtar Donetsk,1,2013-14
Dnipro Dnipropetrovsk,2,2013-14
Metalist Kharkiv,3,2013-14
Dynamo Kyiv,4,2013-14
Chornomorets Odesa,5,2013-14
Metalurh Donetsk,6,2013-14
Zorya Luhansk,7,2013-14
Vorskla Poltava,8,2013-14
FK Mariupol Illichivets',9,2013-14
Karpaty Lviv,10,2013-14
Sevastopol,11,2013-14
Hoverla Uzhhorod,12,2013-14
Volyn,13,2013-14
Metalurh Zaporizhya,14,2013-14
FC Arsenal Kiev,15,2013-14
Tavriia,16,2013-14
Shakhtar Donetsk,1,2012-13
Metalist Kharkiv,2,2012-13
Dynamo Kyiv,3,2012-13
Dnipro Dnipropetrovsk,4,2012-13
Metalurh Donetsk,5,2012-13
Chornomorets Odesa,6,2012-13
Kryvbas,7,2012-13
FC Arsenal Kiev,8,2012-13
FK Mariupol Illichivets',9,2012-13
Zorya Luhansk,10,2012-13
Tavriia,11,2012-13
Vorskla Poltava,12,2012-13
Volyn,13,2012-13
Karpaty Lviv,14,2012-13
Hoverla Uzhhorod,15,2012-13
Metalurh Zaporizhya,16,2012-13
Shakhtar Donetsk,1,2011-12
Dynamo Kyiv,2,2011-12
Metalist Kharkiv,3,2011-12
Dnipro Dnipropetrovsk,4,2011-12
FC Arsenal Kiev,5,2011-12
Tavriia,6,2011-12
Metalurh Donetsk,7,2011-12
Vorskla Poltava,8,2011-12
Chornomorets Odesa,9,2011-12
Kryvbas,10,2011-12
FK Mariupol Illichivets',11,2011-12
Volyn,12,2011-12
Zorya Luhansk,13,2011-12
Karpaty Lviv,14,2011-12
Obolon',15,2011-12
Oleksandriya,16,2011-12
Shakhtar Donetsk,1,2010-11
Dynamo Kyiv,2,2010-11
Metalist Kharkiv,3,2010-11
Dnipro Dnipropetrovsk,4,2010-11
Karpaty Lviv,5,2010-11
Vorskla Poltava,6,2010-11
Tavriia,7,2010-11
Metalurh Donetsk,8,2010-11
FC Arsenal Kiev,9,2010-11
Obolon',10,2010-11
Volyn,11,2010-11
Zorya Luhansk,12,2010-11
Kryvbas,13,2010-11
FK Mariupol Illichivets',14,2010-11
Sevastopol,15,2010-11
Metalurh Zaporizhya,16,2010-11
Shakhtar Donetsk,1,2009-10
Dynamo Kyiv,2,2009-10
Metalist Kharkiv,3,2009-10
Dnipro Dnipropetrovsk,4,2009-10
Karpaty Lviv,5,2009-10
Tavriia,6,2009-10
FC Arsenal Kiev,7,2009-10
Metalurh Donetsk,8,2009-10
Metalurh Zaporizhya,9,2009-10
Vorskla Poltava,10,2009-10
Obolon',11,2009-10
FK Mariupol Illichivets',12,2009-10
Zorya Luhansk,13,2009-10
Kryvbas,14,2009-10
Chornomorets Odesa,15,2009-10
Hoverla Uzhhorod,16,2009-10
