team,pos,season
Zrinjski Mostar,1,2022-23
Široki Brijeg,2,2022-23
Borac Banja Luka,3,2022-23
Željezničar,4,2022-23
FK Sarajevo,5,2022-23
Velež Mostar,6,2022-23
HŠK Posušje,7,2022-23
FK Tuzla City,8,2022-23
FK Sloga Doboj,9,2022-23
FK Leotar,10,2022-23
Sloboda Tuzla,11,2022-23
NK Igman Konjic,12,2022-23
Zrinjski Mostar,1,2021-22
FK Tuzla City,2,2021-22
Borac Banja Luka,3,2021-22
Velež Mostar,4,2021-22
FK Sarajevo,5,2021-22
Željezničar,6,2021-22
Široki Brijeg,7,2021-22
FK Leotar,8,2021-22
Sloboda Tuzla,9,2021-22
Radnik Bijeljina,10,2021-22
Rudar Prijedor,11,2021-22
HŠK Posušje,12,2021-22
Borac Banja Luka,1,2020-21
FK Sarajevo,2,2020-21
Velež Mostar,3,2020-21
Zrinjski Mostar,4,2020-21
Široki Brijeg,5,2020-21
FK Tuzla City,6,2020-21
Željezničar,7,2020-21
Sloboda Tuzla,8,2020-21
FK Mladost Doboj Kakanj,9,2020-21
FK Krupa,10,2020-21
Radnik Bijeljina,11,2020-21
Olimpik Sarajevo,12,2020-21
FK Sarajevo,1,2019-20
Željezničar,2,2019-20
Zrinjski Mostar,3,2019-20
Borac Banja Luka,4,2019-20
FK Tuzla City,5,2019-20
Radnik Bijeljina,6,2019-20
Široki Brijeg,7,2019-20
Velež Mostar,8,2019-20
Sloboda Tuzla,9,2019-20
Čelik Zenica,10,2019-20
FK Mladost Doboj Kakanj,11,2019-20
FK Zvijezda 09,12,2019-20
FK Sarajevo,1,2018-19
Zrinjski Mostar,2,2018-19
Široki Brijeg,3,2018-19
Željezničar,4,2018-19
Radnik Bijeljina,5,2018-19
Čelik Zenica,6,2018-19
FK Mladost Doboj Kakanj,7,2018-19
FK Zvijezda 09,8,2018-19
Sloboda Tuzla,9,2018-19
FK Krupa,10,2018-19
FK Tuzla City,11,2018-19
GOŠK Gabela,12,2018-19
Zrinjski Mostar,1,2017-18
Željezničar,2,2017-18
FK Sarajevo,3,2017-18
Široki Brijeg,4,2017-18
Radnik Bijeljina,5,2017-18
GOŠK Gabela,6,2017-18
FK Mladost Doboj Kakanj,7,2017-18
FK Krupa,8,2017-18
Borac Banja Luka,9,2017-18
Sloboda Tuzla,10,2017-18
Čelik Zenica,11,2017-18
Vitez,12,2017-18
Zrinjski Mostar,1,2016-17
Željezničar,2,2016-17
FK Sarajevo,3,2016-17
FK Krupa,4,2016-17
Sloboda Tuzla,5,2016-17
Radnik Bijeljina,6,2016-17
Široki Brijeg,7,2016-17
FK Mladost Doboj Kakanj,8,2016-17
Vitez,9,2016-17
Čelik Zenica,10,2016-17
Metalleghe BSI,11,2016-17
Olimpik Sarajevo,12,2016-17
Zrinjski Mostar,1,2015-16
Sloboda Tuzla,2,2015-16
Široki Brijeg,3,2015-16
FK Sarajevo,4,2015-16
Željezničar,5,2015-16
Čelik Zenica,6,2015-16
Radnik Bijeljina,7,2015-16
Olimpik Sarajevo,8,2015-16
Vitez,9,2015-16
FK Mladost Doboj Kakanj,10,2015-16
Borac Banja Luka,11,2015-16
Slavija Sarajevo,12,2015-16
Travnik,13,2015-16
Rudar Prijedor,14,2015-16
FK Drina Zvornik,15,2015-16
Velež Mostar,16,2015-16
Široki Brijeg,1,2014-15
Radnik Bijeljina,2,2014-15
NK Zvijezda Gradacac,3,2014-15
Čelik Zenica,4,2014-15
Sloboda Tuzla,5,2014-15
Vitez,6,2014-15
Travnik,7,2014-15
FK Drina Zvornik,8,2014-15
Slavija Sarajevo,9,2014-15
Velež Mostar,10,2014-15
Borac Banja Luka,11,2014-15
Željezničar,12,2014-15
FK Sarajevo,13,2014-15
Olimpik Sarajevo,14,2014-15
Zrinjski Mostar,15,2014-15
Mladost Velika,16,2014-15
