team,pos,season
Atletico Petro Luanda,1,2022-23
Wiliete SC,2,2022-23
Sagrada Esperança,3,2022-23
Interclube de Angola,4,2022-23
Desportivo Da Huíla,5,2022-23
Santa Rita de Cássia FC,6,2022-23
FC Bravos DO Maquis,7,2022-23
1º de Agosto,8,2022-23
Académica Lobito,9,2022-23
Sporting de Cabinda,10,2022-23
Recreativo do Libolo,11,2022-23
PA Sambizanga,12,2022-23
C.D. Lunda Sul,13,2022-23
GD Escolinha Isaac de Benguela,14,2022-23
Sporting Clube de Benguela,15,2022-23
ASK Dragão do Uíge,16,2022-23
Atletico Petro Luanda,1,2021-22
1º de Agosto,2,2021-22
Sagrada Esperança,3,2021-22
Interclube de Angola,4,2021-22
FC Bravos DO Maquis,5,2021-22
Desportivo Da Huíla,6,2021-22
Académica Lobito,7,2021-22
Recreativo do Libolo,8,2021-22
Recreativo da Caála,9,2021-22
PA Sambizanga,10,2021-22
Wiliete SC,11,2021-22
Kabuscorp SCP,12,2021-22
Sporting de Cabinda,13,2021-22
Progresso Associação do Sambizanga,14,2021-22
C.D. Lunda Sul,15,2021-22
Sporting Clube de Benguela,16,2021-22
Atletico Petro Luanda,1,2020-21
1º de Agosto,2,2020-21
Sagrada Esperança,3,2020-21
Interclube de Angola,4,2020-21
Recreativo da Caála,5,2020-21
FC Bravos DO Maquis,6,2020-21
Wiliete SC,7,2020-21
Académica Lobito,8,2020-21
Ferroviário Do Huambo,9,2020-21
Desportivo Da Huíla,10,2020-21
Progresso Associação do Sambizanga,11,2020-21
Recreativo do Libolo,12,2020-21
Sporting de Cabinda,13,2020-21
GD Baixa de Kassanje,14,2020-21
PA Sambizanga,15,2020-21
Santa Rita de Cássia FC,16,2020-21
1º de Agosto,1,2016-16
Atletico Petro Luanda,2,2016-16
Recreativo do Libolo,3,2016-16
Kabuscorp SCP,4,2016-16
Benfica Luanda,5,2016-16
Progresso da Lunda Sul,6,2016-16
Interclube de Angola,7,2016-16
Progresso Associação do Sambizanga,8,2016-16
Sagrada Esperança,9,2016-16
Recreativo da Caála,10,2016-16
Desportivo Da Huíla,11,2016-16
PA Sambizanga,12,2016-16
Atlético Sport Aviação,13,2016-16
1º de Maio,14,2016-16
Académica Lobito,15,2016-16
Porcelana FC,16,2016-16
1º de Agosto,1,2015-15
Recreativo do Libolo,2,2015-15
Benfica Luanda,3,2015-15
Kabuscorp SCP,4,2015-15
Interclube de Angola,5,2015-15
Desportivo Da Huíla,6,2015-15
Atletico Petro Luanda,7,2015-15
Atlético Sport Aviação,8,2015-15
Progresso da Lunda Sul,9,2015-15
Sagrada Esperança,10,2015-15
Recreativo da Caála,11,2015-15
Progresso Associação do Sambizanga,12,2015-15
Académica Lobito,13,2015-15
Sporting de Cabinda,14,2015-15
FC Bravos DO Maquis,15,2015-15
Domant FC,16,2015-15
Recreativo do Libolo,1,2014-14
Kabuscorp SCP,2,2014-14
Benfica Luanda,3,2014-14
1º de Agosto,4,2014-14
Atletico Petro Luanda,5,2014-14
FC Bravos DO Maquis,6,2014-14
Interclube de Angola,7,2014-14
Recreativo da Caála,8,2014-14
Sagrada Esperança,9,2014-14
Progresso Associação do Sambizanga,10,2014-14
Uniao Sport Clube do Uige,11,2014-14
1º de Maio,12,2014-14
Desportivo Da Huíla,13,2014-14
Atlético Sport Aviação,14,2014-14
Sporting de Cabinda,15,2014-14
Sport Lubango e Benfica,16,2014-14
Kabuscorp SCP,1,2013-13
1º de Agosto,2,2013-13
FC Bravos DO Maquis,3,2013-13
Atletico Petro Luanda,4,2013-13
Desportivo Da Huíla,5,2013-13
Sagrada Esperança,6,2013-13
Interclube de Angola,7,2013-13
Recreativo do Libolo,8,2013-13
Progresso Associação do Sambizanga,9,2013-13
Benfica Luanda,10,2013-13
Atlético Sport Aviação,11,2013-13
Recreativo da Caála,12,2013-13
Porcelana FC,13,2013-13
1º de Maio,14,2013-13
Atlético do Namibe,15,2013-13
Santos de Angola,16,2013-13
Recreativo do Libolo,1,2012-12
1º de Agosto,2,2012-12
Atletico Petro Luanda,3,2012-12
Kabuscorp SCP,4,2012-12
Interclube de Angola,5,2012-12
Atlético Sport Aviação,6,2012-12
FC Bravos DO Maquis,7,2012-12
Progresso Associação do Sambizanga,8,2012-12
Recreativo da Caála,9,2012-12
Atlético do Namibe,10,2012-12
Benfica Luanda,11,2012-12
Sagrada Esperança,12,2012-12
Santos de Angola,13,2012-12
Académica do Soyo,14,2012-12
Nacional de Benguela,15,2012-12
Sporting de Cabinda,16,2012-12
Recreativo do Libolo,1,2011-11
Kabuscorp SCP,2,2011-11
Atletico Petro Luanda,3,2011-11
Recreativo da Caála,4,2011-11
Sagrada Esperança,5,2011-11
1º de Agosto,6,2011-11
Santos de Angola,7,2011-11
Progresso Associação do Sambizanga,8,2011-11
FC Bravos DO Maquis,9,2011-11
Interclube de Angola,10,2011-11
Cabinda,11,2011-11
Atlético Sport Aviação,12,2011-11
Benfica Luanda,13,2011-11
Académica do Soyo,14,2011-11
1º de Maio,15,2011-11
Académica Lobito,16,2011-11
Interclube de Angola,1,2010-10
Recreativo da Caála,2,2010-10
1º de Agosto,3,2010-10
Atletico Petro Luanda,4,2010-10
Recreativo do Libolo,5,2010-10
Atlético Sport Aviação,6,2010-10
FC Bravos DO Maquis,7,2010-10
Kabuscorp SCP,8,2010-10
Académica do Soyo,9,2010-10
Benfica Luanda,10,2010-10
Sagrada Esperança,11,2010-10
Cabinda,12,2010-10
Santos de Angola,13,2010-10
Desportivo Da Huíla,14,2010-10
Sporting de Cabinda,15,2010-10
Sport Lubango e Benfica,16,2010-10
Atletico Petro Luanda,1,2009-09
Recreativo do Libolo,2,2009-09
Benfica Luanda,3,2009-09
1º de Agosto,4,2009-09
Académica do Soyo,5,2009-09
Santos de Angola,6,2009-09
Atlético Sport Aviação,7,2009-09
Interclube de Angola,8,2009-09
Recreativo da Caála,9,2009-09
FC Bravos DO Maquis,10,2009-09
Desportivo Da Huíla,11,2009-09
Kabuscorp SCP,12,2009-09
1º de Maio,13,2009-09
Académica Lobito,14,2009-09
