team,pos,season
Dinamo Zagreb,1,2022-23
Hajduk Split,2,2022-23
Osijek,3,2022-23
Slaven,4,2022-23
NK Istra 1961,5,2022-23
NK Varaždin,6,2022-23
Lokomotiva,7,2022-23
Rijeka,8,2022-23
Šibenik,9,2022-23
HNK Gorica,10,2022-23
Dinamo Zagreb,1,2021-22
Hajduk Split,2,2021-22
Osijek,3,2021-22
Rijeka,4,2021-22
Lokomotiva,5,2021-22
HNK Gorica,6,2021-22
Slaven,7,2021-22
Šibenik,8,2021-22
NK Istra 1961,9,2021-22
Hrvatski Dragovoljac,10,2021-22
Dinamo Zagreb,1,2020-21
Osijek,2,2020-21
Rijeka,3,2020-21
Hajduk Split,4,2020-21
HNK Gorica,5,2020-21
Šibenik,6,2020-21
Slaven,7,2020-21
Lokomotiva,8,2020-21
NK Istra 1961,9,2020-21
NK Varaždin,10,2020-21
Dinamo Zagreb,1,2019-20
Lokomotiva,2,2019-20
Rijeka,3,2019-20
Osijek,4,2019-20
Hajduk Split,5,2019-20
HNK Gorica,6,2019-20
Slaven,7,2019-20
NK Varaždin,8,2019-20
NK Istra 1961,9,2019-20
Zaprešić,10,2019-20
Dinamo Zagreb,1,2018-19
Rijeka,2,2018-19
Hajduk Split,3,2018-19
Osijek,4,2018-19
HNK Gorica,5,2018-19
Lokomotiva,6,2018-19
Slaven,7,2018-19
Zaprešić,8,2018-19
NK Istra 1961,9,2018-19
NK Rudeš,10,2018-19
Dinamo Zagreb,1,2017-18
Rijeka,2,2017-18
Hajduk Split,3,2017-18
Osijek,4,2017-18
Lokomotiva,5,2017-18
Slaven,6,2017-18
Zaprešić,7,2017-18
NK Rudeš,8,2017-18
NK Istra 1961,9,2017-18
Cibalia,10,2017-18
Rijeka,1,2016-17
Dinamo Zagreb,2,2016-17
Hajduk Split,3,2016-17
Osijek,4,2016-17
Lokomotiva,5,2016-17
NK Istra 1961,6,2016-17
Slaven,7,2016-17
Zaprešić,8,2016-17
Cibalia,9,2016-17
RNK Split,10,2016-17
Dinamo Zagreb,1,2015-16
Rijeka,2,2015-16
Hajduk Split,3,2015-16
Lokomotiva,4,2015-16
Zaprešić,5,2015-16
RNK Split,6,2015-16
Slaven,7,2015-16
Osijek,8,2015-16
NK Istra 1961,9,2015-16
NK Zagreb,10,2015-16
Dinamo Zagreb,1,2014-15
RNK Split,2,2014-15
Rijeka,3,2014-15
Osijek,4,2014-15
NK Zagreb,5,2014-15
NK Zadar,6,2014-15
Lokomotiva,7,2014-15
NK Istra 1961,8,2014-15
Hajduk Split,9,2014-15
Slaven,10,2014-15
Dinamo Zagreb,1,2013-14
Rijeka,2,2013-14
Hajduk Split,3,2013-14
RNK Split,4,2013-14
Lokomotiva,5,2013-14
NK Istra 1961,6,2013-14
NK Zadar,7,2013-14
Osijek,8,2013-14
Slaven,9,2013-14
Hrvatski Dragovoljac,10,2013-14
Dinamo Zagreb,1,2012-13
Lokomotiva,2,2012-13
Rijeka,3,2012-13
Hajduk Split,4,2012-13
RNK Split,5,2012-13
NK Istra 1961,6,2012-13
Osijek,7,2012-13
Slaven,8,2012-13
NK Zadar,9,2012-13
Zaprešić,10,2012-13
Cibalia,11,2012-13
NK Zagreb,12,2012-13
Dinamo Zagreb,1,2011-12
Hajduk Split,2,2011-12
RNK Split,3,2011-12
Slaven,4,2011-12
NK Zagreb,5,2011-12
Lokomotiva,6,2011-12
Cibalia,7,2011-12
NK Istra 1961,8,2011-12
Osijek,9,2011-12
NK Zadar,10,2011-12
Zaprešić,11,2011-12
Rijeka,12,2011-12
Lučko,13,2011-12
Šibenik,14,2011-12
Karlovac,15,2011-12
NK Varaždin,16,2011-12
Dinamo Zagreb,1,2010-11
Hajduk Split,2,2010-11
RNK Split,3,2010-11
Cibalia,4,2010-11
Rijeka,5,2010-11
Zaprešić,6,2010-11
Karlovac,7,2010-11
Slaven,8,2010-11
Osijek,9,2010-11
NK Zadar,10,2010-11
NK Varaždin,11,2010-11
Lokomotiva,12,2010-11
Šibenik,13,2010-11
NK Zagreb,14,2010-11
NK Istra 1961,15,2010-11
Hrvatski Dragovoljac,16,2010-11
Dinamo Zagreb,1,2009-10
Hajduk Split,2,2009-10
Cibalia,3,2009-10
Šibenik,4,2009-10
Osijek,5,2009-10
Karlovac,6,2009-10
Slaven,7,2009-10
Lokomotiva,8,2009-10
Rijeka,9,2009-10
NK Varaždin,10,2009-10
NK Istra 1961,11,2009-10
NK Zadar,12,2009-10
NK Zagreb,13,2009-10
Zaprešić,14,2009-10
Medimurje,15,2009-10
Croatia Sesvete,16,2009-10
