team,pos,season
Al Ahli,1,2022-23
Sharjah Cultural Club,2,2022-23
Al Wahda,3,2022-23
Al Wasl,4,2022-23
Al-Ain FC,5,2022-23
Al-Jazira,6,2022-23
Ajman Club,7,2022-23
Al Ittihad Kalba,8,2022-23
Baniyas,9,2022-23
Khorfakkan Club,10,2022-23
Al Bataeh Club,11,2022-23
Al Nasr,12,2022-23
Al-Dhafra,13,2022-23
Al Fujairah,14,2022-23
Al-Ain FC,1,2021-22
Sharjah Cultural Club,2,2021-22
Al Wahda,3,2021-22
Al-Jazira,4,2021-22
Al Ahli,5,2021-22
Al Wasl,6,2021-22
Ajman Club,7,2021-22
Al Nasr,8,2021-22
Baniyas,9,2021-22
Al Ittihad Kalba,10,2021-22
Al-Dhafra,11,2021-22
Khorfakkan Club,12,2021-22
Al Urooba Club,13,2021-22
Emirates Club,14,2021-22
Al-Jazira,1,2020-21
Baniyas,2,2020-21
Al Ahli,3,2020-21
Sharjah Cultural Club,4,2020-21
Al Nasr,5,2020-21
Al-Ain FC,6,2020-21
Al Wahda,7,2020-21
Al Ittihad Kalba,8,2020-21
Al Wasl,9,2020-21
Khorfakkan Club,10,2020-21
Al-Dhafra,11,2020-21
Ajman Club,12,2020-21
Al Fujairah,13,2020-21
Hatta,14,2020-21
Al Ahli,1,2019-20
Al-Ain FC,2,2019-20
Al-Jazira,3,2019-20
Sharjah Cultural Club,4,2019-20
Al Wahda,5,2019-20
Al Nasr,6,2019-20
Al-Dhafra,7,2019-20
Al Wasl,8,2019-20
Baniyas,9,2019-20
Ajman Club,10,2019-20
Khorfakkan Club,11,2019-20
Hatta,12,2019-20
Dibba Al-Fujairah Club,13,2019-20
Al Ittihad Kalba,14,2019-20
Sharjah Cultural Club,1,2018-19
Al Ahli,2,2018-19
Al Wahda,3,2018-19
Al-Ain FC,4,2018-19
Al-Jazira,5,2018-19
Baniyas,6,2018-19
Ajman Club,7,2018-19
Al Nasr,8,2018-19
Al Wasl,9,2018-19
Al-Dhafra,10,2018-19
Al Ittihad Kalba,11,2018-19
Al Fujairah,12,2018-19
Emirates Club,13,2018-19
Dibba Al-Fujairah Club,14,2018-19
Al-Ain FC,1,2017-18
Al Wahda,2,2017-18
Al Wasl,3,2017-18
Al Nasr,4,2017-18
Al Ahli,5,2017-18
Sharjah Cultural Club,6,2017-18
Al-Jazira,7,2017-18
Ajman Club,8,2017-18
Dibba Al-Fujairah Club,9,2017-18
Al-Dhafra,10,2017-18
Emirates Club,11,2017-18
Hatta,12,2017-18
Al-Jazira,1,2016-17
Al Wasl,2,2016-17
Al Ahli,3,2016-17
Al-Ain FC,4,2016-17
Al Wahda,5,2016-17
Al Nasr,6,2016-17
Al-Dhafra,7,2016-17
Al Shabab,8,2016-17
Sharjah Cultural Club,9,2016-17
Hatta,10,2016-17
Emirates Club,11,2016-17
Dibba Al-Fujairah Club,12,2016-17
Al Ittihad Kalba,13,2016-17
Baniyas,14,2016-17
Al Ahli,1,2015-16
Al-Ain FC,2,2015-16
Al Wahda,3,2015-16
Al Nasr,4,2015-16
Al Shabab,5,2015-16
Al Wasl,6,2015-16
Al-Jazira,7,2015-16
Al-Dhafra,8,2015-16
Baniyas,9,2015-16
Dibba Al-Fujairah Club,10,2015-16
Sharjah Cultural Club,11,2015-16
Emirates Club,12,2015-16
Al Fujairah,13,2015-16
Al-Shaab,14,2015-16
Al Wahda,1,2014-15
Al Ittihad Kalba,2,2014-15
Al Wasl,3,2014-15
Al Fujairah,4,2014-15
Ajman Club,5,2014-15
Baniyas,6,2014-15
Al-Dhafra,7,2014-15
Al Ahli,8,2014-15
Emirates Club,9,2014-15
Al-Ain FC,10,2014-15
Al Shabab,11,2014-15
Al-Jazira,12,2014-15
Al Nasr,13,2014-15
Sharjah Cultural Club,14,2014-15
Al Ahli,1,2013-14
Al Wahda,2,2013-14
Al Nasr,3,2013-14
Al-Jazira,4,2013-14
Al Shabab,5,2013-14
Al-Ain FC,6,2013-14
Sharjah Cultural Club,7,2013-14
Al-Dhafra,8,2013-14
Baniyas,9,2013-14
Ajman Club,10,2013-14
Emirates Club,11,2013-14
Al Wasl,12,2013-14
Dubai Club,13,2013-14
Al-Shaab,14,2013-14
Al-Ain FC,1,2012-13
Al Ahli,2,2012-13
Al-Jazira,3,2012-13
Baniyas,4,2012-13
Al Shabab,5,2012-13
Al Nasr,6,2012-13
Al Wahda,7,2012-13
Al-Dhafra,8,2012-13
Al Wasl,9,2012-13
Ajman Club,10,2012-13
Dubai Club,11,2012-13
Al-Shaab,12,2012-13
Al Fujairah,13,2012-13
Al Ittihad Kalba,14,2012-13
Al Shabab,15,2012-13
Al-Ain FC,1,2011-12
Al Nasr,2,2011-12
Al Shabab,3,2011-12
Al-Jazira,4,2011-12
Al Ahli,5,2011-12
Al Wahda,6,2011-12
Ajman Club,7,2011-12
Al Wasl,8,2011-12
Baniyas,9,2011-12
Dubai Club,10,2011-12
Emirates Club,11,2011-12
Sharjah Cultural Club,12,2011-12
Al-Jazira,1,2010-11
Baniyas,2,2010-11
Al Nasr,3,2010-11
Al Shabab,4,2010-11
Al Wahda,5,2010-11
Al Wasl,6,2010-11
Sharjah Cultural Club,7,2010-11
Al Ahli,8,2010-11
Dubai Club,9,2010-11
Al-Ain FC,10,2010-11
Al Ittihad Kalba,11,2010-11
Al-Dhafra,12,2010-11
Al Wahda,1,2009-10
