team,pos,season
Qarabağ,1,2022-23
Sabah FK,2,2022-23
Neftçi,3,2022-23
FK Zirka Kirovohrad,4,2022-23
Qäbälä,5,2022-23
Turan Tovuz,6,2022-23
Keşlə Futbol Klubu,7,2022-23
Sumqayıt,8,2022-23
FC Kapaz,9,2022-23
Səbail FK,10,2022-23
Qarabağ,1,2021-22
Neftçi,2,2021-22
FK Zirka Kirovohrad,3,2021-22
Qäbälä,4,2021-22
Sabah FK,5,2021-22
Keşlə Futbol Klubu,6,2021-22
Sumqayıt,7,2021-22
Səbail FK,8,2021-22
Neftçi,1,2020-21
Qarabağ,2,2020-21
Sumqayıt,3,2020-21
FK Zirka Kirovohrad,4,2020-21
Sabah FK,5,2020-21
Keşlə Futbol Klubu,6,2020-21
Səbail FK,7,2020-21
Qäbälä,8,2020-21
Qarabağ,1,2019-20
Neftçi,2,2019-20
Keşlə Futbol Klubu,3,2019-20
Sumqayıt,4,2019-20
Zirə,5,2019-20
Sabah FK,6,2019-20
Səbail FK,7,2019-20
Qäbälä,8,2019-20
Qarabağ,1,2018-19
Neftçi,2,2018-19
Səbail FK,3,2018-19
Qäbälä,4,2018-19
Zirə,5,2018-19
Sumqayıt,6,2018-19
Sabah FK,7,2018-19
Keşlə Futbol Klubu,8,2018-19
Qarabağ,1,2017-18
Qäbälä,2,2017-18
Neftçi,3,2017-18
Zirə,4,2017-18
Sumqayıt,5,2017-18
Keşlə Futbol Klubu,6,2017-18
Səbail FK,7,2017-18
FC Kapaz,8,2017-18
Qarabağ,1,2016-17
Qäbälä,2,2016-17
Keşlə Futbol Klubu,3,2016-17
Zirə,4,2016-17
FC Kapaz,5,2016-17
Sumqayıt,6,2016-17
Neftçi,7,2016-17
AZAL PFC Baku,8,2016-17
Qarabağ,1,2015-16
Zirə,2,2015-16
Qäbälä,3,2015-16
Keşlə Futbol Klubu,4,2015-16
FC Kapaz,5,2015-16
Neftçi,6,2015-16
AZAL PFC Baku,7,2015-16
Sumqayıt,8,2015-16
Revan Baku,9,2015-16
Khazar Lankaran FK,10,2015-16
Keşlə Futbol Klubu,1,2014-15
Sumqayıt,2,2014-15
Neftçi,3,2014-15
Simurq,4,2014-15
Bakı,5,2014-15
Khazar Lankaran FK,6,2014-15
AZAL PFC Baku,7,2014-15
Qarabağ,8,2014-15
Araz PFK,9,2014-15
Qäbälä,10,2014-15
Qarabağ,1,2013-14
Keşlə Futbol Klubu,2,2013-14
Qäbälä,3,2013-14
Neftçi,4,2013-14
Bakı,5,2013-14
Khazar Lankaran FK,6,2013-14
Simurq,7,2013-14
AZAL PFC Baku,8,2013-14
Sumqayıt,9,2013-14
Revan Baku,10,2013-14
Neftçi,1,2012-13
AZAL PFC Baku,2,2012-13
Qarabağ,3,2012-13
Keşlə Futbol Klubu,4,2012-13
Simurq,5,2012-13
Khazar Lankaran FK,6,2012-13
Revan Baku,7,2012-13
Bakı,8,2012-13
Qäbälä,9,2012-13
Sumqayıt,10,2012-13
Turan Tovuz,11,2012-13
FC Kapaz,12,2012-13
Neftçi,1,2011-12
Khazar Lankaran FK,2,2011-12
Keşlə Futbol Klubu,3,2011-12
Qarabağ,4,2011-12
Qäbälä,5,2011-12
Bakı,6,2011-12
AZAL PFC Baku,7,2011-12
Revan Baku,8,2011-12
Simurq,9,2011-12
FC Kapaz,10,2011-12
Turan Tovuz,11,2011-12
Sumqayıt,12,2011-12
Khazar Lankaran FK,1,2010-11
Neftçi,2,2010-11
Qarabağ,3,2010-11
Keşlə Futbol Klubu,4,2010-11
Qäbälä,5,2010-11
AZAL PFC Baku,6,2010-11
Bakı,7,2010-11
Muğan,8,2010-11
FC Kapaz,9,2010-11
Turan Tovuz,10,2010-11
Simurq,11,2010-11
MOIK,12,2010-11
Keşlə Futbol Klubu,1,2009-10
Khazar Lankaran FK,2,2009-10
Qarabağ,3,2009-10
Bakı,4,2009-10
Qäbälä,5,2009-10
Neftçi,6,2009-10
Simurq,7,2009-10
AZAL PFC Baku,8,2009-10
Turan Tovuz,9,2009-10
Muğan,10,2009-10
Standard,11,2009-10
Karvan,12,2009-10
