team,pos,season
Deportivo Táchira,1,2023-23
Zamora FC,2,2023-23
Angostura FC,3,2023-23
Universidad Central de Venezuela FC,4,2023-23
Metropolitanos FC,5,2023-23
Carabobo FC,6,2023-23
Caracas,7,2023-23
Deportivo La Guaira FC,8,2023-23
Monagas SC,9,2023-23
Rayo Zuliano,10,2023-23
Portuguesa FC,11,2023-23
Academia Puerto Cabello,12,2023-23
Mineros de Guayana,13,2023-23
C.D. Hermanos Colmenarez,14,2023-23
Estudiantes de Mérida,15,2023-23
Metropolitanos FC,1,2022-22
Zamora FC,2,2022-22
Carabobo FC,3,2022-22
Monagas SC,4,2022-22
Estudiantes de Mérida,5,2022-22
Academia Puerto Cabello,6,2022-22
Deportivo Táchira,7,2022-22
Deportivo La Guaira FC,8,2022-22
C.D. Hermanos Colmenarez,9,2022-22
Caracas,10,2022-22
Deportivo Lara,11,2022-22
Portuguesa FC,12,2022-22
Zulia,13,2022-22
Mineros de Guayana,14,2022-22
Universidad Central de Venezuela FC,15,2022-22
Aragua FC,16,2022-22
Caracas,1,2021-21
Deportivo Táchira,2,2021-21
Monagas SC,3,2021-21
Estudiantes de Mérida,4,2021-21
C.D. Hermanos Colmenarez,5,2021-21
Deportivo La Guaira FC,6,2021-21
Portuguesa FC,7,2021-21
Metropolitanos FC,8,2021-21
Deportivo Lara,9,2021-21
Aragua FC,10,2021-21
Academia Puerto Cabello,11,2021-21
Zamora FC,12,2021-21
Atlético Venezuela,13,2021-21
Gran Valencia FC,14,2021-21
Universidad Central de Venezuela FC,15,2021-21
Carabobo FC,16,2021-21
Mineros de Guayana,17,2021-21
Zulia,18,2021-21
Yaracuyanos FC,19,2021-21
AC LALA FC,20,2021-21
Trujillanos FC,21,2021-21
Zamora FC,1,2020-20
Caracas,2,2020-20
Deportivo Lara,3,2020-20
Monagas SC,4,2020-20
Atlético Venezuela,5,2020-20
Estudiantes de Mérida,6,2020-20
Deportivo La Guaira FC,7,2020-20
Trujillanos FC,8,2020-20
Zulia,9,2020-20
Aragua FC,10,2020-20
Academia Puerto Cabello,11,2020-20
Metropolitanos FC,12,2020-20
Yaracuyanos FC,13,2020-20
Mineros de Guayana,14,2020-20
Carabobo FC,15,2020-20
Portuguesa FC,16,2020-20
Deportivo Táchira,17,2020-20
Gran Valencia FC,18,2020-20
AC LALA FC,19,2020-20
Zamora FC,1,2020-20
Caracas,2,2020-20
Deportivo Lara,3,2020-20
Monagas SC,4,2020-20
Atlético Venezuela,5,2020-20
Estudiantes de Mérida,6,2020-20
Deportivo La Guaira FC,7,2020-20
Trujillanos FC,8,2020-20
Zulia,9,2020-20
Aragua FC,10,2020-20
Academia Puerto Cabello,11,2020-20
Metropolitanos FC,12,2020-20
Yaracuyanos FC,13,2020-20
Mineros de Guayana,14,2020-20
Carabobo FC,15,2020-20
Portuguesa FC,16,2020-20
Deportivo Táchira,17,2020-20
Gran Valencia FC,18,2020-20
AC LALA FC,19,2020-20
Carabobo FC,1,2019-19
Caracas,2,2019-19
Aragua FC,3,2019-19
Mineros de Guayana,4,2019-19
Zamora FC,5,2019-19
Zulia,6,2019-19
Estudiantes de Mérida,7,2019-19
