team,pos,season
The New Saints,1,2022-23
Connah's Quay,2,2022-23
Penybont FC,3,2022-23
Cardiff Met University,4,2022-23
Bala Town FC,5,2022-23
Newtown,6,2022-23
Haverfordwest County,7,2022-23
Caernarfon,8,2022-23
Flint Town United,9,2022-23
Aberystwyth,10,2022-23
Pontypridd Town,11,2022-23
Airbus UK Broughton FC,12,2022-23
The New Saints,1,2021-22
Bala Town FC,2,2021-22
Connah's Quay,3,2021-22
Newtown,4,2021-22
Cardiff Met University,5,2021-22
Caernarfon,6,2021-22
Haverfordwest County,7,2021-22
Aberystwyth,8,2021-22
Barry Town United FC,9,2021-22
Flint Town United,10,2021-22
Penybont FC,11,2021-22
Cefn Druids AFC,12,2021-22
Connah's Quay,1,2020-21
The New Saints,2,2020-21
Bala Town FC,3,2020-21
Newtown,4,2020-21
Penybont FC,5,2020-21
Cardiff Met University,6,2020-21
Haverfordwest County,7,2020-21
Barry Town United FC,8,2020-21
Caernarfon,9,2020-21
Aberystwyth,10,2020-21
Flint Town United,11,2020-21
Cefn Druids AFC,12,2020-21
Connah's Quay,1,2019-20
The New Saints,2,2019-20
Bala Town FC,3,2019-20
Barry Town United FC,4,2019-20
Caernarfon,5,2019-20
Cefn Druids AFC,6,2019-20
Newtown,7,2019-20
Cardiff Met University,8,2019-20
Aberystwyth,9,2019-20
Penybont FC,10,2019-20
Carmarthen,11,2019-20
Airbus UK Broughton FC,12,2019-20
The New Saints,1,2018-19
Connah's Quay,2,2018-19
Barry Town United FC,3,2018-19
Cardiff Met University,4,2018-19
Bala Town FC,5,2018-19
Caernarfon,6,2018-19
Aberystwyth,7,2018-19
Newtown,8,2018-19
Carmarthen,9,2018-19
Cefn Druids AFC,10,2018-19
Llandudno FC,11,2018-19
Llanelli,12,2018-19
The New Saints,1,2017-18
Bangor City,2,2017-18
Connah's Quay,3,2017-18
Barry Town United FC,4,2017-18
Bala Town FC,5,2017-18
Cefn Druids AFC,6,2017-18
Cardiff Met University,7,2017-18
Newtown,8,2017-18
Aberystwyth,9,2017-18
Llandudno FC,10,2017-18
Carmarthen,11,2017-18
Prestatyn Town FC,12,2017-18
The New Saints,1,2016-17
Connah's Quay,2,2016-17
Bala Town FC,3,2016-17
Bangor City,4,2016-17
Newtown,5,2016-17
Carmarthen,6,2016-17
Cefn Druids AFC,7,2016-17
Cardiff Met University,8,2016-17
Llandudno FC,9,2016-17
Aberystwyth,10,2016-17
Rhyl,11,2016-17
Airbus UK Broughton FC,12,2016-17
The New Saints,1,2015-16
Bala Town FC,2,2015-16
Llandudno FC,3,2015-16
Connah's Quay,4,2015-16
Carmarthen,5,2015-16
Aberystwyth,6,2015-16
Bangor City,7,2015-16
Newtown,8,2015-16
Airbus UK Broughton FC,9,2015-16
Port Talbot,10,2015-16
Rhyl,11,2015-16
Haverfordwest County,12,2015-16
Aberystwyth,1,2014-15
Cefn Druids AFC,2,2014-15
Rhyl,3,2014-15
Connah's Quay,4,2014-15
Airbus UK Broughton FC,5,2014-15
Prestatyn Town FC,6,2014-15
Newtown,7,2014-15
Port Talbot,8,2014-15
Carmarthen,9,2014-15
Bala Town FC,10,2014-15
The New Saints,11,2014-15
Bangor City,12,2014-15
The New Saints,1,2013-14
Airbus UK Broughton FC,2,2013-14
Aberystwyth,3,2013-14
Carmarthen,4,2013-14
Bangor City,5,2013-14
Bala Town FC,6,2013-14
Newtown,7,2013-14
Rhyl,8,2013-14
Port Talbot,9,2013-14
Connah's Quay,10,2013-14
Prestatyn Town FC,11,2013-14
Afan Lido,12,2013-14
The New Saints,1,2012-13
Bala Town FC,2,2012-13
Airbus UK Broughton FC,3,2012-13
Bangor City,4,2012-13
Port Talbot,5,2012-13
Connah's Quay,6,2012-13
Newtown,7,2012-13
Carmarthen,8,2012-13
Aberystwyth,9,2012-13
Prestatyn Town FC,10,2012-13
Llanelli,11,2012-13
Afan Lido,12,2012-13
The New Saints,1,2011-12
Bangor City,2,2011-12
Llanelli,3,2011-12
Neath Athletic,4,2011-12
Bala Town FC,5,2011-12
Airbus UK Broughton FC,6,2011-12
Aberystwyth,7,2011-12
Port Talbot,8,2011-12
Afan Lido,9,2011-12
Carmarthen,10,2011-12
Prestatyn Town FC,11,2011-12
Newtown,12,2011-12
Bangor City,1,2010-11
The New Saints,2,2010-11
Neath Athletic,3,2010-11
Llanelli,4,2010-11
Prestatyn Town FC,5,2010-11
Airbus UK Broughton FC,6,2010-11
Port Talbot,7,2010-11
Aberystwyth,8,2010-11
Carmarthen,9,2010-11
Bala Town FC,10,2010-11
Newtown,11,2010-11
Haverfordwest County,12,2010-11
The New Saints,1,2009-10
Llanelli,2,2009-10
Port Talbot,3,2009-10
Aberystwyth,4,2009-10
Bangor City,5,2009-10
Rhyl,6,2009-10
Airbus UK Broughton FC,7,2009-10
Prestatyn Town FC,8,2009-10
Neath Athletic,9,2009-10
Carmarthen,10,2009-10
Bala Town FC,11,2009-10
Haverfordwest County,12,2009-10
Newtown,13,2009-10
Connah's Quay,14,2009-10
Porthmadog,15,2009-10
Welshpool Town,16,2009-10
Caersws,17,2009-10
Cefn Druids AFC,18,2009-10
