team,pos,season
Sepahan,1,2022-23
Persepolis,2,2022-23
Esteghlal,3,2022-23
GOL Gohar Sirjan FC,4,2022-23
Tractor Sazi,5,2022-23
Mes Rafsanjan,6,2022-23
Aluminium Arak,7,2022-23
Foolad Khuzestan,8,2022-23
Havadar S.C.,9,2022-23
Nassaji Mazandaran,10,2022-23
Malavan,11,2022-23
Paykan F.C.,12,2022-23
Zob Ahan Isfahan FC,13,2022-23
Mes Kerman,14,2022-23
Sanat Naft Abadan,15,2022-23
Naft Masjed Soleyman FC,16,2022-23
Esteghlal,1,2021-22
Persepolis,2,2021-22
Sepahan,3,2021-22
Foolad Khuzestan,4,2021-22
GOL Gohar Sirjan FC,5,2021-22
Zob Ahan Isfahan FC,6,2021-22
Paykan F.C.,7,2021-22
Nassaji Mazandaran,8,2021-22
Sanat Naft Abadan,9,2021-22
Tractor Sazi,10,2021-22
Mes Rafsanjan,11,2021-22
Naft Masjed Soleyman FC,12,2021-22
Havadar S.C.,13,2021-22
Fajr Sepasi,14,2021-22
Padideh F.C.,15,2021-22
Aluminium Arak,16,2021-22
Persepolis,1,2020-21
Sepahan,2,2020-21
Esteghlal,3,2020-21
Tractor Sazi,4,2020-21
GOL Gohar Sirjan FC,5,2020-21
Foolad Khuzestan,6,2020-21
Paykan F.C.,7,2020-21
Mes Rafsanjan,8,2020-21
Padideh F.C.,9,2020-21
Sanat Naft Abadan,10,2020-21
Aluminium Arak,11,2020-21
Nassaji Mazandaran,12,2020-21
Naft Masjed Soleyman FC,13,2020-21
Zob Ahan Isfahan FC,14,2020-21
Saipa FC,15,2020-21
Machine Sazi FC,16,2020-21
Persepolis,1,2019-20
Esteghlal,2,2019-20
Foolad Khuzestan,3,2019-20
Tractor Sazi,4,2019-20
Sepahan,5,2019-20
Padideh F.C.,6,2019-20
Sanat Naft Abadan,7,2019-20
Naft Masjed Soleyman FC,8,2019-20
Nassaji Mazandaran,9,2019-20
GOL Gohar Sirjan FC,10,2019-20
Machine Sazi FC,11,2019-20
Zob Ahan Isfahan FC,12,2019-20
Paykan F.C.,13,2019-20
Saipa FC,14,2019-20
Pars Jonoubi Jam,15,2019-20
Shahin Bushehr FC,16,2019-20
Persepolis,1,2018-19
