team,pos,season
Pakhtakor Tashkent,1,2022-22
Navbahor Namangan,2,2022-22
Nasaf Qarshi,3,2022-22
FK AGMK,4,2022-22
Qizilqum Zarafshon,5,2022-22
FK Olympic Tashkent,6,2022-22
Sogdiyona Jizzax,7,2022-22
Bunyodkor Tashkent,8,2022-22
Neftchi,9,2022-22
Metallurg Bekobod,10,2022-22
Surkhon-2011,11,2022-22
Lokomotiv Tashkent,12,2022-22
Kokand 1912,13,2022-22
Dinamo Samarkand,14,2022-22
Pakhtakor Tashkent,1,2021-21
Sogdiyona Jizzax,2,2021-21
FK AGMK,3,2021-21
Nasaf Qarshi,4,2021-21
Bunyodkor Tashkent,5,2021-21
Lokomotiv Tashkent,6,2021-21
Navbahor Namangan,7,2021-21
Kokand 1912,8,2021-21
Qizilqum Zarafshon,9,2021-21
Surkhon-2011,10,2021-21
Metallurg Bekobod,11,2021-21
Mash'al Muborak,12,2021-21
Andijon,13,2021-21
FK Turon Yaypan,14,2021-21
Pakhtakor Tashkent,1,2020-20
Nasaf Qarshi,2,2020-20
FK AGMK,3,2020-20
Bunyodkor Tashkent,4,2020-20
Kokand 1912,5,2020-20
Lokomotiv Tashkent,6,2020-20
Sogdiyona Jizzax,7,2020-20
Metallurg Bekobod,8,2020-20
Navbahor Namangan,9,2020-20
Mash'al Muborak,10,2020-20
Qizilqum Zarafshon,11,2020-20
Andijon,12,2020-20
Surkhon-2011,13,2020-20
Buxoro,14,2020-20
Pakhtakor Tashkent,1,2019-19
Lokomotiv Tashkent,2,2019-19
Bunyodkor Tashkent,3,2019-19
Sogdiyona Jizzax,4,2019-19
Metallurg Bekobod,5,2019-19
Surkhon-2011,6,2019-19
Nasaf Qarshi,7,2019-19
Navbahor Namangan,8,2019-19
FK AGMK,9,2019-19
Andijon,10,2019-19
Kokand 1912,11,2019-19
Buxoro,12,2019-19
Dinamo Samarkand,13,2019-19
Qizilqum Zarafshon,14,2019-19
Pakhtakor Tashkent,1,2018-18
Lokomotiv Tashkent,2,2018-18
Bunyodkor Tashkent,3,2018-18
Navbahor Namangan,4,2018-18
Buxoro,5,2018-18
Metallurg Bekobod,6,2018-18
Kokand 1912,7,2018-18
Nasaf Qarshi,8,2018-18
FK AGMK,9,2018-18
Qizilqum Zarafshon,10,2018-18
Sogdiyona Jizzax,11,2018-18
Neftchi,12,2018-18
Lokomotiv Tashkent,1,2017-17
Nasaf Qarshi,2,2017-17
Pakhtakor Tashkent,3,2017-17
Bunyodkor Tashkent,4,2017-17
Buxoro,5,2017-17
FK AGMK,6,2017-17
Navbahor Namangan,7,2017-17
Mash'al Muborak,8,2017-17
Kokand 1912,9,2017-17
Metallurg Bekobod,10,2017-17
Qizilqum Zarafshon,11,2017-17
Sogdiyona Jizzax,12,2017-17
Dinamo Samarkand,13,2017-17
Shortan Guzor,14,2017-17
Neftchi,15,2017-17
Obod,16,2017-17
Lokomotiv Tashkent,1,2016-16
Bunyodkor Tashkent,2,2016-16
Nasaf Qarshi,3,2016-16
Buxoro,4,2016-16
Pakhtakor Tashkent,5,2016-16
Metallurg Bekobod,6,2016-16
Qizilqum Zarafshon,7,2016-16
Mash'al Muborak,8,2016-16
Shortan Guzor,9,2016-16
Sogdiyona Jizzax,10,2016-16
Kokand 1912,11,2016-16
Neftchi,12,2016-16
FK AGMK,13,2016-16
Navbahor Namangan,14,2016-16
Obod,15,2016-16
Andijon,16,2016-16
Pakhtakor Tashkent,1,2015-15
Lokomotiv Tashkent,2,2015-15
Nasaf Qarshi,3,2015-15
Bunyodkor Tashkent,4,2015-15
Neftchi,5,2015-15
FK AGMK,6,2015-15
Mash'al Muborak,7,2015-15
Navbahor Namangan,8,2015-15
Qizilqum Zarafshon,9,2015-15
Metallurg Bekobod,10,2015-15
Shortan Guzor,11,2015-15
Kokand 1912,12,2015-15
Andijon,13,2015-15
Buxoro,14,2015-15
Sogdiyona Jizzax,15,2015-15
Dinamo Samarkand,16,2015-15
Pakhtakor Tashkent,1,2014-14
Lokomotiv Tashkent,2,2014-14
Nasaf Qarshi,3,2014-14
Bunyodkor Tashkent,4,2014-14
Mash'al Muborak,5,2014-14
FK AGMK,6,2014-14
Neftchi,7,2014-14
Navbahor Namangan,8,2014-14
Metallurg Bekobod,9,2014-14
Dinamo Samarkand,10,2014-14
Qizilqum Zarafshon,11,2014-14
Sogdiyona Jizzax,12,2014-14
Buxoro,13,2014-14
Andijon,14,2014-14
Bunyodkor Tashkent,1,2013-13
Lokomotiv Tashkent,2,2013-13
Nasaf Qarshi,3,2013-13
Pakhtakor Tashkent,4,2013-13
FK AGMK,5,2013-13
Metallurg Bekobod,6,2013-13
Buxoro,7,2013-13
Dinamo Samarkand,8,2013-13
Neftchi,9,2013-13
Sogdiyona Jizzax,10,2013-13
Navbahor Namangan,11,2013-13
Qizilqum Zarafshon,12,2013-13
FK Guliston,13,2013-13
Shortan Guzor,14,2013-13
Pakhtakor Tashkent,1,2012-12
Bunyodkor Tashkent,2,2012-12
Lokomotiv Tashkent,3,2012-12
Nasaf Qarshi,4,2012-12
Shortan Guzor,5,2012-12
Neftchi,6,2012-12
Buxoro,7,2012-12
FK AGMK,8,2012-12
Dinamo Samarkand,9,2012-12
Metallurg Bekobod,10,2012-12
Qizilqum Zarafshon,11,2012-12
Navbahor Namangan,12,2012-12
Mash'al Muborak,13,2012-12
Andijon,14,2012-12
Bunyodkor Tashkent,1,2011-11
Nasaf Qarshi,2,2011-11
Pakhtakor Tashkent,3,2011-11
Neftchi,4,2011-11
Mash'al Muborak,5,2011-11
Navbahor Namangan,6,2011-11
Shortan Guzor,7,2011-11
Metallurg Bekobod,8,2011-11
Buxoro,9,2011-11
Dinamo Samarkand,10,2011-11
FK AGMK,11,2011-11
Andijon,12,2011-11
Qizilqum Zarafshon,13,2011-11
Sogdiyona Jizzax,14,2011-11
Bunyodkor Tashkent,1,2010-10
Pakhtakor Tashkent,2,2010-10
Nasaf Qarshi,3,2010-10
Shortan Guzor,4,2010-10
Mash'al Muborak,5,2010-10
Metallurg Bekobod,6,2010-10
Andijon,7,2010-10
Qizilqum Zarafshon,8,2010-10
Navbahor Namangan,9,2010-10
Neftchi,10,2010-10
FK AGMK,11,2010-10
Dinamo Samarkand,12,2010-10
Lokomotiv Tashkent,13,2010-10
Xorazm,14,2010-10
Bunyodkor Tashkent,1,2009-09
Pakhtakor Tashkent,2,2009-09
Nasaf Qarshi,3,2009-09
FK AGMK,4,2009-09
Neftchi,5,2009-09
Lokomotiv Tashkent,6,2009-09
Andijon,7,2009-09
Shortan Guzor,8,2009-09
Dinamo Samarkand,9,2009-09
Xorazm,10,2009-09
Qizilqum Zarafshon,11,2009-09
