team,pos,season
Paris Saint-Germain,1,2022-23
Marseille,2,2022-23
Lens,3,2022-23
Monaco,4,2022-23
Rennes,5,2022-23
Lille,6,2022-23
Lorient,7,2022-23
Nice,8,2022-23
Lyon,9,2022-23
Reims,10,2022-23
Clermont Foot,11,2022-23
Toulouse,12,2022-23
Nantes,13,2022-23
Brest,14,2022-23
Montpellier,15,2022-23
Troyes,16,2022-23
RC Strasbourg,17,2022-23
AC Ajaccio (FRA),18,2022-23
Auxerre,19,2022-23
Angers,20,2022-23
Paris Saint-Germain,1,2021-22
Marseille,2,2021-22
Nice,3,2021-22
Monaco,4,2021-22
Rennes,5,2021-22
RC Strasbourg,6,2021-22
Lyon,7,2021-22
Lens,8,2021-22
Nantes,9,2021-22
Lille,10,2021-22
Brest,11,2021-22
Reims,12,2021-22
Montpellier,13,2021-22
Angers,14,2021-22
Troyes,15,2021-22
Lorient,16,2021-22
Saint-Étienne,17,2021-22
Metz,18,2021-22
Bordeaux,19,2021-22
Clermont Foot,20,2021-22
Lille,1,2020-21
Paris Saint-Germain,2,2020-21
Monaco,3,2020-21
Lyon,4,2020-21
Marseille,5,2020-21
Rennes,6,2020-21
Lens,7,2020-21
Montpellier,8,2020-21
Nice,9,2020-21
Metz,10,2020-21
Saint-Étienne,11,2020-21
Bordeaux,12,2020-21
Angers,13,2020-21
Reims,14,2020-21
RC Strasbourg,15,2020-21
Lorient,16,2020-21
Brest,17,2020-21
Nantes,18,2020-21
Nîmes Olympique,19,2020-21
Dijon,20,2020-21
Paris Saint-Germain,1,2019-20
Marseille,2,2019-20
Rennes,3,2019-20
Lille,4,2019-20
Reims,5,2019-20
Nice,6,2019-20
Lyon,7,2019-20
Montpellier,8,2019-20
Monaco,9,2019-20
Angers,10,2019-20
RC Strasbourg,11,2019-20
Bordeaux,12,2019-20
Nantes,13,2019-20
Brest,14,2019-20
Metz,15,2019-20
Dijon,16,2019-20
Saint-Étienne,17,2019-20
Nîmes Olympique,18,2019-20
Amiens SC,19,2019-20
Toulouse,20,2019-20
Paris Saint-Germain,1,2018-19
Lille,2,2018-19
Lyon,3,2018-19
Saint-Étienne,4,2018-19
Marseille,5,2018-19
Montpellier,6,2018-19
Nice,7,2018-19
Reims,8,2018-19
Nîmes Olympique,9,2018-19
Rennes,10,2018-19
RC Strasbourg,11,2018-19
Nantes,12,2018-19
Angers,13,2018-19
Bordeaux,14,2018-19
Amiens SC,15,2018-19
Monaco,16,2018-19
Toulouse,17,2018-19
Dijon,18,2018-19
Caen,19,2018-19
Guingamp,20,2018-19
Paris Saint-Germain,1,2017-18
Monaco,2,2017-18
Lyon,3,2017-18
Marseille,4,2017-18
Rennes,5,2017-18
Bordeaux,6,2017-18
Saint-Étienne,7,2017-18
Nice,8,2017-18
Nantes,9,2017-18
Montpellier,10,2017-18
Dijon,11,2017-18
Guingamp,12,2017-18
Amiens SC,13,2017-18
Angers,14,2017-18
RC Strasbourg,15,2017-18
Caen,16,2017-18
Lille,17,2017-18
Toulouse,18,2017-18
Troyes,19,2017-18
Metz,20,2017-18
Monaco,1,2016-17
Paris Saint-Germain,2,2016-17
Nice,3,2016-17
Lyon,4,2016-17
Marseille,5,2016-17
Bordeaux,6,2016-17
Nantes,7,2016-17
Saint-Étienne,8,2016-17
Rennes,9,2016-17
Guingamp,10,2016-17
Lille,11,2016-17
Angers,12,2016-17
Toulouse,13,2016-17
Metz,14,2016-17
Montpellier,15,2016-17
Dijon,16,2016-17
Lorient,17,2016-17
Caen,18,2016-17
Nancy,19,2016-17
SC Bastia,20,2016-17
Paris Saint-Germain,1,2015-16
Lyon,2,2015-16
Monaco,3,2015-16
Nice,4,2015-16
Lille,5,2015-16
Saint-Étienne,6,2015-16
Caen,7,2015-16
Rennes,8,2015-16
Angers,9,2015-16
SC Bastia,10,2015-16
Bordeaux,11,2015-16
Montpellier,12,2015-16
Marseille,13,2015-16
Nantes,14,2015-16
Lorient,15,2015-16
Guingamp,16,2015-16
Toulouse,17,2015-16
Reims,18,2015-16
GFC Ajaccio,19,2015-16
Troyes,20,2015-16
SC Bastia,1,2014-15
Monaco,2,2014-15
Montpellier,3,2014-15
Nantes,4,2014-15
Nice,5,2014-15
Paris Saint-Germain,6,2014-15
Reims,7,2014-15
Rennes,8,2014-15
Saint-Étienne,9,2014-15
Metz,10,2014-15
Marseille,11,2014-15
Bordeaux,12,2014-15
Caen,13,2014-15
Evian TG,14,2014-15
Guingamp,15,2014-15
Lens,16,2014-15
Lille,17,2014-15
Lorient,18,2014-15
Lyon,19,2014-15
Toulouse,20,2014-15
Paris Saint-Germain,1,2013-14
Monaco,2,2013-14
Lille,3,2013-14
Saint-Étienne,4,2013-14
Lyon,5,2013-14
Marseille,6,2013-14
Bordeaux,7,2013-14
Nantes,8,2013-14
Lorient,9,2013-14
Toulouse,10,2013-14
Reims,11,2013-14
Rennes,12,2013-14
SC Bastia,13,2013-14
Evian TG,14,2013-14
Montpellier,15,2013-14
Guingamp,16,2013-14
Nice,17,2013-14
Sochaux,18,2013-14
Valenciennes,19,2013-14
AC Ajaccio (FRA),20,2013-14
Paris Saint-Germain,1,2012-13
Marseille,2,2012-13
Lyon,3,2012-13
Nice,4,2012-13
Saint-Étienne,5,2012-13
Lille,6,2012-13
Bordeaux,7,2012-13
Lorient,8,2012-13
Montpellier,9,2012-13
Toulouse,10,2012-13
Valenciennes,11,2012-13
SC Bastia,12,2012-13
Rennes,13,2012-13
Reims,14,2012-13
AC Ajaccio (FRA),15,2012-13
Sochaux,16,2012-13
Evian TG,17,2012-13
Nancy,18,2012-13
Troyes,19,2012-13
Brest,20,2012-13
Montpellier,1,2011-12
Paris Saint-Germain,2,2011-12
Lille,3,2011-12
Lyon,4,2011-12
Bordeaux,5,2011-12
Rennes,6,2011-12
Saint-Étienne,7,2011-12
Toulouse,8,2011-12
Evian TG,9,2011-12
Marseille,10,2011-12
Nancy,11,2011-12
Valenciennes,12,2011-12
Nice,13,2011-12
Sochaux,14,2011-12
Brest,15,2011-12
AC Ajaccio (FRA),16,2011-12
Lorient,17,2011-12
Caen,18,2011-12
Dijon,19,2011-12
Auxerre,20,2011-12
Lille,1,2010-11
Marseille,2,2010-11
Lyon,3,2010-11
Paris Saint-Germain,4,2010-11
Sochaux,5,2010-11
Rennes,6,2010-11
Bordeaux,7,2010-11
Toulouse,8,2010-11
Auxerre,9,2010-11
Saint-Étienne,10,2010-11
Lorient,11,2010-11
Valenciennes,12,2010-11
Nancy,13,2010-11
Montpellier,14,2010-11
Caen,15,2010-11
Brest,16,2010-11
Nice,17,2010-11
Monaco,18,2010-11
Lens,19,2010-11
Arles,20,2010-11
Marseille,1,2009-10
Lyon,2,2009-10
Auxerre,3,2009-10
Lille,4,2009-10
Montpellier,5,2009-10
Bordeaux,6,2009-10
Lorient,7,2009-10
Monaco,8,2009-10
Rennes,9,2009-10
Valenciennes,10,2009-10
Lens,11,2009-10
Nancy,12,2009-10
Paris Saint-Germain,13,2009-10
Toulouse,14,2009-10
Nice,15,2009-10
Sochaux,16,2009-10
Saint-Étienne,17,2009-10
Le Mans,18,2009-10
Boulogne,19,2009-10
Grenoble,20,2009-10
