team,pos,season
Nordsjælland,1,2022-23
Viborg,2,2022-23
København,3,2022-23
Silkeborg,4,2022-23
Odense Boldklub,5,2022-23
Randers FC,6,2022-23
FC Midtjylland,7,2022-23
AGF,8,2022-23
AC Horsens,9,2022-23
Brøndby,10,2022-23
AaB,11,2022-23
Lyngby,12,2022-23
København,1,2021-22
FC Midtjylland,2,2021-22
Silkeborg,3,2021-22
Brøndby,4,2021-22
AaB,5,2021-22
Viborg,6,2021-22
Randers FC,7,2021-22
Odense Boldklub,8,2021-22
Nordsjælland,9,2021-22
AGF,10,2021-22
Vejle Boldklub,11,2021-22
SønderjyskE,12,2021-22
Brøndby,1,2020-21
FC Midtjylland,2,2020-21
København,3,2020-21
AGF,4,2020-21
AaB,5,2020-21
SønderjyskE,6,2020-21
Odense Boldklub,7,2020-21
Nordsjælland,8,2020-21
Randers FC,9,2020-21
Vejle Boldklub,10,2020-21
Lyngby,11,2020-21
AC Horsens,12,2020-21
FC Midtjylland,1,2019-20
København,2,2019-20
AGF,3,2019-20
AaB,4,2019-20
Brøndby,5,2019-20
Randers FC,6,2019-20
Nordsjælland,7,2019-20
Odense Boldklub,8,2019-20
AC Horsens,9,2019-20
SønderjyskE,10,2019-20
Lyngby,11,2019-20
Hobro,12,2019-20
Silkeborg,13,2019-20
Esbjerg fB,14,2019-20
København,1,2018-19
FC Midtjylland,2,2018-19
Esbjerg fB,3,2018-19
Odense Boldklub,4,2018-19
AGF,5,2018-19
Brøndby,6,2018-19
Randers FC,7,2018-19
Nordsjælland,8,2018-19
AaB,9,2018-19
AC Horsens,10,2018-19
SønderjyskE,11,2018-19
Vejle Boldklub,12,2018-19
Vendsyssel FF,13,2018-19
Hobro,14,2018-19
FC Midtjylland,1,2017-18
Brøndby,2,2017-18
Nordsjælland,3,2017-18
København,4,2017-18
Hobro,5,2017-18
SønderjyskE,6,2017-18
AaB,7,2017-18
AGF,8,2017-18
Odense Boldklub,9,2017-18
AC Horsens,10,2017-18
Randers FC,11,2017-18
Silkeborg,12,2017-18
Lyngby,13,2017-18
FC Helsingør,14,2017-18
København,1,2016-17
Brøndby,2,2016-17
Lyngby,3,2016-17
FC Midtjylland,4,2016-17
Nordsjælland,5,2016-17
Odense Boldklub,6,2016-17
AGF,7,2016-17
Randers FC,8,2016-17
SønderjyskE,9,2016-17
AaB,10,2016-17
Viborg,11,2016-17
AC Horsens,12,2016-17
Silkeborg,13,2016-17
Esbjerg fB,14,2016-17
København,1,2015-16
SønderjyskE,2,2015-16
FC Midtjylland,3,2015-16
Brøndby,4,2015-16
AaB,5,2015-16
Randers FC,6,2015-16
Odense Boldklub,7,2015-16
Viborg,8,2015-16
Nordsjælland,9,2015-16
AGF,10,2015-16
Esbjerg fB,11,2015-16
Hobro,12,2015-16
AaB,1,2014-15
Silkeborg,2,2014-15
Randers FC,3,2014-15
Odense Boldklub,4,2014-15
Hobro,5,2014-15
Vestsjælland,6,2014-15
Nordsjælland,7,2014-15
FC Midtjylland,8,2014-15
København,9,2014-15
Esbjerg fB,10,2014-15
Brøndby,11,2014-15
SønderjyskE,12,2014-15
AaB,1,2013-14
København,2,2013-14
FC Midtjylland,3,2013-14
Brøndby,4,2013-14
Esbjerg fB,5,2013-14
Nordsjælland,6,2013-14
Odense Boldklub,7,2013-14
Randers FC,8,2013-14
Vestsjælland,9,2013-14
SønderjyskE,10,2013-14
Viborg,11,2013-14
AGF,12,2013-14
København,1,2012-13
Nordsjælland,2,2012-13
Randers FC,3,2012-13
Esbjerg fB,4,2012-13
AaB,5,2012-13
FC Midtjylland,6,2012-13
AGF,7,2012-13
SønderjyskE,8,2012-13
Brøndby,9,2012-13
Odense Boldklub,10,2012-13
AC Horsens,11,2012-13
Silkeborg,12,2012-13
Nordsjælland,1,2011-12
København,2,2011-12
FC Midtjylland,3,2011-12
AC Horsens,4,2011-12
AGF,5,2011-12
SønderjyskE,6,2011-12
AaB,7,2011-12
Silkeborg,8,2011-12
Brøndby,9,2011-12
Odense Boldklub,10,2011-12
Lyngby,11,2011-12
HB Køge,12,2011-12
København,1,2010-11
Odense Boldklub,2,2010-11
Brøndby,3,2010-11
FC Midtjylland,4,2010-11
Silkeborg,5,2010-11
Nordsjælland,6,2010-11
SønderjyskE,7,2010-11
Lyngby,8,2010-11
AC Horsens,9,2010-11
AaB,10,2010-11
Randers FC,11,2010-11
Esbjerg fB,12,2010-11
København,1,2009-10
Odense Boldklub,2,2009-10
Brøndby,3,2009-10
Esbjerg fB,4,2009-10
AaB,5,2009-10
FC Midtjylland,6,2009-10
Nordsjælland,7,2009-10
Silkeborg,8,2009-10
SønderjyskE,9,2009-10
Randers FC,10,2009-10
AGF,11,2009-10
HB Køge,12,2009-10
