team,pos,season
Benfica,1,2022-23
FC Porto,2,2022-23
Braga,3,2022-23
Sporting,4,2022-23
Casa Pia,5,2022-23
Vitória Guimarães,6,2022-23
Arouca,7,2022-23
Chaves,8,2022-23
Boavista,9,2022-23
FC Vizela,10,2022-23
Rio Ave,11,2022-23
FC Famalicão,12,2022-23
Portimonense,13,2022-23
Estoril,14,2022-23
Gil Vicente FC,15,2022-23
CD Santa Clara,16,2022-23
CS Marítimo Madeira,17,2022-23
Paços de Ferreira,18,2022-23
FC Porto,1,2021-22
Sporting,2,2021-22
Benfica,3,2021-22
Braga,4,2021-22
Gil Vicente FC,5,2021-22
Vitória Guimarães,6,2021-22
CD Santa Clara,7,2021-22
FC Famalicão,8,2021-22
Estoril,9,2021-22
CS Marítimo Madeira,10,2021-22
Boavista,11,2021-22
Portimonense,12,2021-22
Paços de Ferreira,13,2021-22
Arouca,14,2021-22
Moreirense,15,2021-22
Tondela,16,2021-22
Belenenses,17,2021-22
FC Vizela,18,2021-22
Sporting,1,2020-21
FC Porto,2,2020-21
Benfica,3,2020-21
Braga,4,2020-21
Paços de Ferreira,5,2020-21
CD Santa Clara,6,2020-21
Moreirense,7,2020-21
Vitória Guimarães,8,2020-21
FC Famalicão,9,2020-21
Belenenses,10,2020-21
Gil Vicente FC,11,2020-21
Boavista,12,2020-21
Tondela,13,2020-21
Portimonense,14,2020-21
CS Marítimo Madeira,15,2020-21
Rio Ave,16,2020-21
SC Farense,17,2020-21
Nacional,18,2020-21
FC Porto,1,2019-20
Benfica,2,2019-20
Braga,3,2019-20
Sporting,4,2019-20
Rio Ave,5,2019-20
FC Famalicão,6,2019-20
Vitória Guimarães,7,2019-20
Moreirense,8,2019-20
Gil Vicente FC,9,2019-20
Boavista,10,2019-20
CD Santa Clara,11,2019-20
CS Marítimo Madeira,12,2019-20
Paços de Ferreira,13,2019-20
Tondela,14,2019-20
Belenenses,15,2019-20
Vitória Setúbal,16,2019-20
Portimonense,17,2019-20
CD das Aves,18,2019-20
Benfica,1,2018-19
FC Porto,2,2018-19
Sporting,3,2018-19
Braga,4,2018-19
Vitória Guimarães,5,2018-19
Moreirense,6,2018-19
Rio Ave,7,2018-19
Boavista,8,2018-19
Belenenses,9,2018-19
CD Santa Clara,10,2018-19
Portimonense,11,2018-19
CS Marítimo Madeira,12,2018-19
CD das Aves,13,2018-19
Vitória Setúbal,14,2018-19
Tondela,15,2018-19
Chaves,16,2018-19
Nacional,17,2018-19
Feirense,18,2018-19
FC Porto,1,2017-18
Benfica,2,2017-18
Sporting,3,2017-18
Braga,4,2017-18
Rio Ave,5,2017-18
Chaves,6,2017-18
CS Marítimo Madeira,7,2017-18
Boavista,8,2017-18
Vitória Guimarães,9,2017-18
Portimonense,10,2017-18
Tondela,11,2017-18
Belenenses,12,2017-18
CD das Aves,13,2017-18
Moreirense,14,2017-18
Vitória Setúbal,15,2017-18
Feirense,16,2017-18
Paços de Ferreira,17,2017-18
Estoril,18,2017-18
Benfica,1,2016-17
FC Porto,2,2016-17
Sporting,3,2016-17
Vitória Guimarães,4,2016-17
Braga,5,2016-17
CS Marítimo Madeira,6,2016-17
Rio Ave,7,2016-17
Feirense,8,2016-17
Boavista,9,2016-17
Estoril,10,2016-17
Chaves,11,2016-17
Vitória Setúbal,12,2016-17
Paços de Ferreira,13,2016-17
Belenenses,14,2016-17
Moreirense,15,2016-17
Tondela,16,2016-17
Arouca,17,2016-17
Nacional,18,2016-17
Benfica,1,2015-16
Sporting,2,2015-16
FC Porto,3,2015-16
Braga,4,2015-16
Arouca,5,2015-16
Rio Ave,6,2015-16
Paços de Ferreira,7,2015-16
Estoril,8,2015-16
Belenenses,9,2015-16
Vitória Guimarães,10,2015-16
Moreirense,11,2015-16
Nacional,12,2015-16
CS Marítimo Madeira,13,2015-16
Boavista,14,2015-16
Tondela,15,2015-16
Vitória Setúbal,16,2015-16
Uniao da Madeira,17,2015-16
Académica,18,2015-16
Académica,1,2014-15
Vitória Guimarães,2,2014-15
Sporting,3,2014-15
Rio Ave,4,2014-15
Penafiel,5,2014-15
Paços de Ferreira,6,2014-15
Nacional,7,2014-15
Moreirense,8,2014-15
CS Marítimo Madeira,9,2014-15
Gil Vicente FC,10,2014-15
FC Porto,11,2014-15
Estoril,12,2014-15
Braga,13,2014-15
Boavista,14,2014-15
Benfica,15,2014-15
Belenenses,16,2014-15
Arouca,17,2014-15
Vitória Setúbal,18,2014-15
Benfica,1,2013-14
Sporting,2,2013-14
FC Porto,3,2013-14
Estoril,4,2013-14
Nacional,5,2013-14
CS Marítimo Madeira,6,2013-14
Vitória Setúbal,7,2013-14
Braga,8,2013-14
Académica,9,2013-14
Vitória Guimarães,10,2013-14
Rio Ave,11,2013-14
Arouca,12,2013-14
Gil Vicente FC,13,2013-14
Belenenses,14,2013-14
Olhanense,15,2013-14
Paços de Ferreira,16,2013-14
FC Porto,1,2012-13
Benfica,2,2012-13
Paços de Ferreira,3,2012-13
Braga,4,2012-13
Estoril,5,2012-13
Sporting,6,2012-13
Rio Ave,7,2012-13
Nacional,8,2012-13
Vitória Guimarães,9,2012-13
CS Marítimo Madeira,10,2012-13
Académica,11,2012-13
Vitória Setúbal,12,2012-13
Olhanense,13,2012-13
Gil Vicente FC,14,2012-13
Moreirense,15,2012-13
Beira-Mar,16,2012-13
FC Porto,1,2011-12
Benfica,2,2011-12
Braga,3,2011-12
Sporting,4,2011-12
CS Marítimo Madeira,5,2011-12
