team,pos,season
Frosinone,1,2022-23
Genoa,2,2022-23
Bari,3,2022-23
Suditrol,4,2022-23
Reggina,5,2022-23
Pisa,6,2022-23
Cagliari,7,2022-23
Parma,8,2022-23
Palermo,9,2022-23
Ascoli,10,2022-23
Modena,11,2022-23
Ternana,12,2022-23
Cittadella,13,2022-23
Como,14,2022-23
Perugia,15,2022-23
Venezia,16,2022-23
Benevento,17,2022-23
Brescia,18,2022-23
Cosenza,19,2022-23
SPAL,20,2022-23
Lecce,1,2021-22
Cremonese,2,2021-22
Pisa,3,2021-22
Monza,4,2021-22
Brescia,5,2021-22
Ascoli,6,2021-22
Benevento,7,2021-22
Perugia,8,2021-22
Frosinone,9,2021-22
Ternana,10,2021-22
Cittadella,11,2021-22
Parma,12,2021-22
Como,13,2021-22
Reggina,14,2021-22
SPAL,15,2021-22
Cosenza,16,2021-22
Vicenza,17,2021-22
Alessandria,18,2021-22
Crotone,19,2021-22
Pordenone Calcio,20,2021-22
Empoli,1,2020-21
Salernitana,2,2020-21
Monza,3,2020-21
Lecce,4,2020-21
Venezia,5,2020-21
Cittadella,6,2020-21
Brescia,7,2020-21
Chievo Verona,8,2020-21
SPAL,9,2020-21
Frosinone,10,2020-21
Reggina,11,2020-21
Vicenza,12,2020-21
Cremonese,13,2020-21
Pisa,14,2020-21
Pordenone Calcio,15,2020-21
Ascoli,16,2020-21
Cosenza,17,2020-21
Reggiana,18,2020-21
US Pescara,19,2020-21
Virtus Entella,20,2020-21
Benevento,1,2019-20
Crotone,2,2019-20
Spezia,3,2019-20
Pordenone Calcio,4,2019-20
Cittadella,5,2019-20
Chievo Verona,6,2019-20
Pisa,7,2019-20
Frosinone,8,2019-20
Empoli,9,2019-20
Salernitana,10,2019-20
Venezia,11,2019-20
Cremonese,12,2019-20
Virtus Entella,13,2019-20
Cosenza,14,2019-20
Ascoli,15,2019-20
US Pescara,16,2019-20
Perugia,17,2019-20
Trapani,18,2019-20
Juve Stabia,19,2019-20
Livorno,20,2019-20
Brescia,1,2018-19
Lecce,2,2018-19
Benevento,3,2018-19
US Pescara,4,2018-19
Hellas Verona,5,2018-19
Spezia,6,2018-19
Cittadella,7,2018-19
Perugia,8,2018-19
Cremonese,9,2018-19
Cosenza,10,2018-19
Palermo,11,2018-19
Crotone,12,2018-19
Ascoli,13,2018-19
Livorno,14,2018-19
Venezia,15,2018-19
Salernitana,16,2018-19
Foggia,17,2018-19
Padova,18,2018-19
Carpi,19,2018-19
Empoli,1,2017-18
Parma,2,2017-18
Frosinone,3,2017-18
Palermo,4,2017-18
Venezia,5,2017-18
Bari,6,2017-18
Cittadella,7,2017-18
Perugia,8,2017-18
Foggia,9,2017-18
Spezia,10,2017-18
Carpi,11,2017-18
Salernitana,12,2017-18
Cesena,13,2017-18
Cremonese,14,2017-18
US Avellino,15,2017-18
Brescia,16,2017-18
US Pescara,17,2017-18
Ascoli,18,2017-18
Virtus Entella,19,2017-18
Novara,20,2017-18
Pro Vercelli,21,2017-18
Ternana,22,2017-18
SPAL,1,2016-17
Hellas Verona,2,2016-17
Frosinone,3,2016-17
Perugia,4,2016-17
Benevento,5,2016-17
Cittadella,6,2016-17
Carpi,7,2016-17
Spezia,8,2016-17
Novara,9,2016-17
Salernitana,10,2016-17
Virtus Entella,11,2016-17
Bari,12,2016-17
Cesena,13,2016-17
US Avellino,14,2016-17
Brescia,15,2016-17
Ascoli,16,2016-17
Pro Vercelli,17,2016-17
Ternana,18,2016-17
Trapani,19,2016-17
Vicenza,20,2016-17
Pisa,21,2016-17
Latina,22,2016-17
Cagliari,1,2015-16
Crotone,2,2015-16
Trapani,3,2015-16
US Pescara,4,2015-16
Bari,5,2015-16
Cesena,6,2015-16
Spezia,7,2015-16
Novara,8,2015-16
Virtus Entella,9,2015-16
Perugia,10,2015-16
Brescia,11,2015-16
Ternana,12,2015-16
Vicenza,13,2015-16
US Avellino,14,2015-16
Ascoli,15,2015-16
Latina,16,2015-16
Pro Vercelli,17,2015-16
Salernitana,18,2015-16
Lanciano,19,2015-16
Livorno,20,2015-16
Modena,21,2015-16
Como,22,2015-16
Carpi,1,2014-15
Frosinone,2,2014-15
Vicenza,3,2014-15
Bologna,4,2014-15
Spezia,5,2014-15
Perugia,6,2014-15
US Pescara,7,2014-15
US Avellino,8,2014-15
Livorno,9,2014-15
Bari,10,2014-15
Trapani,11,2014-15
Ternana,12,2014-15
Latina,13,2014-15
Lanciano,14,2014-15
Catania,15,2014-15
Pro Vercelli,16,2014-15
Crotone,17,2014-15
Modena,18,2014-15
Virtus Entella,19,2014-15
Cittadella,20,2014-15
Brescia,21,2014-15
Varese,22,2014-15
Palermo,1,2013-14
Empoli,2,2013-14
Latina,3,2013-14
Cesena,4,2013-14
Modena,5,2013-14
Bari,6,2013-14
Crotone,7,2013-14
Spezia,8,2013-14
Siena,9,2013-14
Lanciano,10,2013-14
Brescia,11,2013-14
US Avellino,12,2013-14
Carpi,13,2013-14
Trapani,14,2013-14
US Pescara,15,2013-14
Ternana,16,2013-14
Cittadella,17,2013-14
Varese,18,2013-14
Novara,19,2013-14
Padova,20,2013-14
Reggina,21,2013-14
Juve Stabia,22,2013-14
Sassuolo,1,2012-13
Hellas Verona,2,2012-13
Livorno,3,2012-13
Empoli,4,2012-13
Novara,5,2012-13
Brescia,6,2012-13
Varese,7,2012-13
Modena,8,2012-13
Ternana,9,2012-13
Bari,10,2012-13
Padova,11,2012-13
Crotone,12,2012-13
Spezia,13,2012-13
Cesena,14,2012-13
Cittadella,15,2012-13
Juve Stabia,16,2012-13
Reggina,17,2012-13
Lanciano,18,2012-13
Vicenza,19,2012-13
Ascoli,20,2012-13
Pro Vercelli,21,2012-13
Grosseto,22,2012-13
US Pescara,1,2011-12
Torino,2,2011-12
Sassuolo,3,2011-12
Hellas Verona,4,2011-12
Varese,5,2011-12
Sampdoria,6,2011-12
Padova,7,2011-12
Brescia,8,2011-12
Juve Stabia,9,2011-12
Reggina,10,2011-12
Crotone,11,2011-12
Modena,12,2011-12
Bari,13,2011-12
Grosseto,14,2011-12
Ascoli,15,2011-12
Cittadella,16,2011-12
Livorno,17,2011-12
Empoli,18,2011-12
Vicenza,19,2011-12
Nocerina,20,2011-12
Gubbio,21,2011-12
Albinoleffe,22,2011-12
Atalanta,1,2010-11
Siena,2,2010-11
Novara,3,2010-11
Varese,4,2010-11
Padova,5,2010-11
Reggina,6,2010-11
Livorno,7,2010-11
Torino,8,2010-11
Ascoli,9,2010-11
Modena,10,2010-11
Empoli,11,2010-11
Crotone,12,2010-11
Vicenza,13,2010-11
US Pescara,14,2010-11
Cittadella,15,2010-11
Sassuolo,16,2010-11
Grosseto,17,2010-11
Albinoleffe,18,2010-11
Piacenza,19,2010-11
Portosummaga,20,2010-11
Triestina,21,2010-11
Frosinone,22,2010-11
Lecce,1,2009-10
Cesena,2,2009-10
Brescia,3,2009-10
Sassuolo,4,2009-10
Torino,5,2009-10
Cittadella,6,2009-10
Grosseto,7,2009-10
Crotone,8,2009-10
Ascoli,9,2009-10
Empoli,10,2009-10
Albinoleffe,11,2009-10
Reggina,12,2009-10
Modena,13,2009-10
Vicenza,14,2009-10
Piacenza,15,2009-10
Frosinone,16,2009-10
Ancona,17,2009-10
Padova,18,2009-10
Triestina,19,2009-10
Mantova,20,2009-10
Gallipoli,21,2009-10
Salernitana,22,2009-10
Bari,1,2008-09
Parma,2,2008-09
Livorno,3,2008-09
Brescia,4,2008-09
Empoli,5,2008-09
Grosseto,6,2008-09
Sassuolo,7,2008-09
Triestina,8,2008-09
Albinoleffe,9,2008-09
Piacenza,10,2008-09
Frosinone,11,2008-09
Vicenza,12,2008-09
Mantova,13,2008-09
Modena,14,2008-09
Salernitana,15,2008-09
Ascoli,16,2008-09
Cittadella,17,2008-09
Rimini,18,2008-09
Ancona,19,2008-09
Pisa,20,2008-09
US Avellino,21,2008-09
Treviso,22,2008-09
Chievo Verona,1,2007-08
Bologna,2,2007-08
Lecce,3,2007-08
Albinoleffe,4,2007-08
Brescia,5,2007-08
Pisa,6,2007-08
Rimini,7,2007-08
Ascoli,8,2007-08
Mantova,9,2007-08
Frosinone,10,2007-08
Bari,11,2007-08
Triestina,12,2007-08
Grosseto,13,2007-08
Messina,14,2007-08
Piacenza,15,2007-08
Modena,16,2007-08
Treviso,17,2007-08
Vicenza,18,2007-08
US Avellino,19,2007-08
Ravenna,20,2007-08
Spezia,21,2007-08
Cesena,22,2007-08
Juventus,1,2006-07
Napoli,2,2006-07
Genoa,3,2006-07
Piacenza,4,2006-07
Rimini,5,2006-07
Brescia,6,2006-07
Bologna,7,2006-07
Mantova,8,2006-07
Lecce,9,2006-07
Albinoleffe,10,2006-07
Vicenza,11,2006-07
Treviso,12,2006-07
Bari,13,2006-07
Frosinone,14,2006-07
Modena,15,2006-07
Cesena,16,2006-07
Triestina,17,2006-07
Hellas Verona,18,2006-07
Spezia,19,2006-07
Arezzo,20,2006-07
Crotone,21,2006-07
US Pescara,22,2006-07
