team,pos,season
Aalesund,1,2023-24
Bodo/Glimt,2,2023-24
SK Brann,3,2023-24
Haugesund,4,2023-24
Hamarkamaratene,5,2023-24
Lillestrom,6,2023-24
Molde,7,2023-24
Odds BK,8,2023-24
Rosenborg,9,2023-24
Sandefjord,10,2023-24
Sarpsborg FK,11,2023-24
Stabaek,12,2023-24
Stromsgodset,13,2023-24
Tromso,14,2023-24
Viking FK,15,2023-24
Valerenga,16,2023-24
Molde,1,2022-23
Bodo/Glimt,2,2022-23
Rosenborg,3,2022-23
Lillestrom,4,2022-23
Odds BK,5,2022-23
Valerenga,6,2022-23
Tromso,7,2022-23
Sarpsborg FK,8,2022-23
Aalesund,9,2022-23
Haugesund,10,2022-23
Viking FK,11,2022-23
Stromsgodset,12,2022-23
Hamarkamaratene,13,2022-23
Sandefjord,14,2022-23
Kristiansund BK,15,2022-23
FK Jerv,16,2022-23
Bodo/Glimt,1,2021-22
Molde,2,2021-22
Viking FK,3,2021-22
Lillestrom,4,2021-22
Rosenborg,5,2021-22
Kristiansund BK,6,2021-22
Valerenga,7,2021-22
Sarpsborg FK,8,2021-22
Stromsgodset,9,2021-22
Sandefjord,10,2021-22
Haugesund,11,2021-22
Tromso,12,2021-22
Odds BK,13,2021-22
SK Brann,14,2021-22
Stabaek,15,2021-22
Mjondalen IF,16,2021-22
Bodo/Glimt,1,2020-21
Molde,2,2020-21
Valerenga,3,2020-21
Rosenborg,4,2020-21
Kristiansund BK,5,2020-21
Viking FK,6,2020-21
Odds BK,7,2020-21
Stabaek,8,2020-21
Haugesund,9,2020-21
SK Brann,10,2020-21
Sandefjord,11,2020-21
Sarpsborg FK,12,2020-21
Stromsgodset,13,2020-21
Mjondalen IF,14,2020-21
IK Start,15,2020-21
Aalesund,16,2020-21
Molde,1,2019-20
Bodo/Glimt,2,2019-20
Rosenborg,3,2019-20
Odds BK,4,2019-20
Viking FK,5,2019-20
Kristiansund BK,6,2019-20
Haugesund,7,2019-20
Stabaek,8,2019-20
SK Brann,9,2019-20
Valerenga,10,2019-20
Stromsgodset,11,2019-20
Sarpsborg FK,12,2019-20
Mjondalen IF,13,2019-20
Lillestrom,14,2019-20
Tromso,15,2019-20
Ranheim,16,2019-20
Rosenborg,1,2018-19
Molde,2,2018-19
SK Brann,3,2018-19
Haugesund,4,2018-19
Kristiansund BK,5,2018-19
Valerenga,6,2018-19
Ranheim,7,2018-19
Sarpsborg FK,8,2018-19
Odds BK,9,2018-19
Tromso,10,2018-19
Bodo/Glimt,11,2018-19
Lillestrom,12,2018-19
Stromsgodset,13,2018-19
Stabaek,14,2018-19
IK Start,15,2018-19
Sandefjord,16,2018-19
Rosenborg,1,2017-18
Molde,2,2017-18
Sarpsborg FK,3,2017-18
Stromsgodset,4,2017-18
SK Brann,5,2017-18
Odds BK,6,2017-18
Kristiansund BK,7,2017-18
Valerenga,8,2017-18
Stabaek,9,2017-18
Haugesund,10,2017-18
Tromso,11,2017-18
Lillestrom,12,2017-18
Sandefjord,13,2017-18
Sogndal,14,2017-18
Aalesund,15,2017-18
Viking FK,16,2017-18
Rosenborg,1,2016-17
SK Brann,2,2016-17
Odds BK,3,2016-17
Haugesund,4,2016-17
Molde,5,2016-17
Sarpsborg FK,6,2016-17
Stromsgodset,7,2016-17
Viking FK,8,2016-17
Aalesund,9,2016-17
Valerenga,10,2016-17
Sogndal,11,2016-17
Lillestrom,12,2016-17
Tromso,13,2016-17
Stabaek,14,2016-17
Bodo/Glimt,15,2016-17
IK Start,16,2016-17
Rosenborg,1,2015-16
Stromsgodset,2,2015-16
Stabaek,3,2015-16
Odds BK,4,2015-16
Viking FK,5,2015-16
Molde,6,2015-16
Valerenga,7,2015-16
Lillestrom,8,2015-16
Bodo/Glimt,9,2015-16
Aalesund,10,2015-16
Sarpsborg FK,11,2015-16
Haugesund,12,2015-16
Tromso,13,2015-16
IK Start,14,2015-16
Mjondalen IF,15,2015-16
Sandefjord,16,2015-16
Stromsgodset,1,2013-14
Rosenborg,2,2013-14
Haugesund,3,2013-14
Aalesund,4,2013-14
Viking FK,5,2013-14
Molde,6,2013-14
Odds BK,7,2013-14
SK Brann,8,2013-14
IK Start,9,2013-14
Lillestrom,10,2013-14
Valerenga,11,2013-14
Sogndal,12,2013-14
Sandnes Ulf,13,2013-14
Sarpsborg FK,14,2013-14
Tromso,15,2013-14
Honefoss,16,2013-14
Molde,1,2012-13
Stromsgodset,2,2012-13
Rosenborg,3,2012-13
Tromso,4,2012-13
Viking FK,5,2012-13
SK Brann,6,2012-13
Haugesund,7,2012-13
Valerenga,8,2012-13
Odds BK,9,2012-13
Lillestrom,10,2012-13
Aalesund,11,2012-13
Sogndal,12,2012-13
Honefoss,13,2012-13
Sandnes Ulf,14,2012-13
Fredrikstad,15,2012-13
Stabaek,16,2012-13
Odds BK,1,2011-12
Rosenborg,2,2011-12
Molde,3,2011-12
Valerenga,4,2011-12
Haugesund,5,2011-12
Tromso,6,2011-12
Viking FK,7,2011-12
Sogndal,8,2011-12
SK Brann,9,2011-12
Stromsgodset,10,2011-12
Aalesund,11,2011-12
Stabaek,12,2011-12
Fredrikstad,13,2011-12
Lillestrom,14,2011-12
IK Start,15,2011-12
Sarpsborg FK,16,2011-12
Rosenborg,1,2010-11
Valerenga,2,2010-11
Tromso,3,2010-11
Aalesund,4,2010-11
Odds BK,5,2010-11
Haugesund,6,2010-11
Stromsgodset,7,2010-11
IK Start,8,2010-11
Viking FK,9,2010-11
Lillestrom,10,2010-11
Molde,11,2010-11
Stabaek,12,2010-11
SK Brann,13,2010-11
Honefoss,14,2010-11
Kongsvinger,15,2010-11
Sandefjord,16,2010-11
Stabaek,1,2008-09
Fredrikstad,2,2008-09
Tromso,3,2008-09
Lyn Oslo,4,2008-09
SK Brann,5,2008-09
Valerenga,6,2008-09
Bodo/Glimt,7,2008-09
Rosenborg,8,2008-09
Molde,9,2008-09
Viking FK,10,2008-09
Stromsgodset,11,2008-09
Aalesund,12,2008-09
Lillestrom,13,2008-09
Ham-Kam,14,2008-09
