team,pos,season
Bayern München,1,2022-23
1. FC Union Berlin,2,2022-23
Borussia Dortmund,3,2022-23
RB Leipzig,4,2022-23
Eintracht Frankfurt,5,2022-23
Freiburg,6,2022-23
Wolfsburg,7,2022-23
Werder Bremen,8,2022-23
Borussia Mönchengladbach,9,2022-23
Bayer Leverkusen,10,2022-23
1. FC Köln,11,2022-23
Mainz,12,2022-23
Augsburg,13,2022-23
Hoffenheim,14,2022-23
Bochum,15,2022-23
VfB Stuttgart,16,2022-23
Hertha BSC,17,2022-23
Schalke 04,18,2022-23
Bayern München,1,2021-22
Borussia Dortmund,2,2021-22
Bayer Leverkusen,3,2021-22
RB Leipzig,4,2021-22
Freiburg,5,2021-22
1. FC Köln,6,2021-22
Mainz,7,2021-22
Hoffenheim,8,2021-22
Eintracht Frankfurt,9,2021-22
Borussia Mönchengladbach,10,2021-22
Wolfsburg,11,2021-22
Bochum,12,2021-22
Augsburg,13,2021-22
VfB Stuttgart,14,2021-22
Hertha BSC,15,2021-22
1. FC Union Berlin,16,2021-22
Greuther Fürth,17,2021-22
DSC Arminia Bielefeld,18,2021-22
Bayern München,1,2020-21
Borussia Dortmund,2,2020-21
RB Leipzig,3,2020-21
Wolfsburg,4,2020-21
Eintracht Frankfurt,5,2020-21
Bayer Leverkusen,6,2020-21
1. FC Union Berlin,7,2020-21
Borussia Mönchengladbach,8,2020-21
VfB Stuttgart,9,2020-21
Freiburg,10,2020-21
Hoffenheim,11,2020-21
Mainz,12,2020-21
Augsburg,13,2020-21
Hertha BSC,14,2020-21
DSC Arminia Bielefeld,15,2020-21
1. FC Köln,16,2020-21
Werder Bremen,17,2020-21
Schalke 04,18,2020-21
Bayern München,1,2019-20
Borussia Dortmund,2,2019-20
RB Leipzig,3,2019-20
Borussia Mönchengladbach,4,2019-20
Bayer Leverkusen,5,2019-20
Hoffenheim,6,2019-20
Wolfsburg,7,2019-20
Freiburg,8,2019-20
Eintracht Frankfurt,9,2019-20
Hertha BSC,10,2019-20
1. FC Union Berlin,11,2019-20
Schalke 04,12,2019-20
Mainz,13,2019-20
1. FC Köln,14,2019-20
Augsburg,15,2019-20
Werder Bremen,16,2019-20
Fortuna Düsseldorf,17,2019-20
SC Paderborn 07,18,2019-20
Borussia Dortmund,1,2018-19
Bayern München,2,2018-19
RB Leipzig,3,2018-19
Bayer Leverkusen,4,2018-19
Borussia Mönchengladbach,5,2018-19
Eintracht Frankfurt,6,2018-19
Wolfsburg,7,2018-19
Werder Bremen,8,2018-19
Hoffenheim,9,2018-19
Fortuna Düsseldorf,10,2018-19
Hertha BSC,11,2018-19
Mainz,12,2018-19
Freiburg,13,2018-19
Schalke 04,14,2018-19
Augsburg,15,2018-19
VfB Stuttgart,16,2018-19
Hannover 96,17,2018-19
Nürnberg,18,2018-19
Bayern München,1,2017-18
Schalke 04,2,2017-18
Hoffenheim,3,2017-18
Borussia Dortmund,4,2017-18
Bayer Leverkusen,5,2017-18
RB Leipzig,6,2017-18
VfB Stuttgart,7,2017-18
Eintracht Frankfurt,8,2017-18
Borussia Mönchengladbach,9,2017-18
Hertha BSC,10,2017-18
Werder Bremen,11,2017-18
Augsburg,12,2017-18
Hannover 96,13,2017-18
Mainz,14,2017-18
Freiburg,15,2017-18
Wolfsburg,16,2017-18
Hamburger SV,17,2017-18
1. FC Köln,18,2017-18
Bayern München,1,2016-17
RB Leipzig,2,2016-17
Borussia Dortmund,3,2016-17
Hoffenheim,4,2016-17
1. FC Köln,5,2016-17
Hertha BSC,6,2016-17
Freiburg,7,2016-17
