team,pos,season
Ulsan Hyundai,1,2022-22
Jeonbuk FC,2,2022-22
Pohang Steelers,3,2022-22
Incheon United,4,2022-22
Jeju United,5,2022-22
Gangwon FC,6,2022-22
Suwon FC,7,2022-22
FC Seoul,8,2022-22
Daegu FC,9,2022-22
Suwon Bluewings,10,2022-22
Gimcheon Sangmu FC,11,2022-22
Seongnam FC,12,2022-22
Jeonbuk FC,1,2021-21
Ulsan Hyundai,2,2021-21
Daegu FC,3,2021-21
Jeju United,4,2021-21
Suwon FC,5,2021-21
FC Seoul,6,2021-21
Incheon United,7,2021-21
Pohang Steelers,8,2021-21
Suwon Bluewings,9,2021-21
Gangwon FC,10,2021-21
Seongnam FC,11,2021-21
Gwangju FC,12,2021-21
Jeonbuk FC,1,2020-20
Ulsan Hyundai,2,2020-20
Pohang Steelers,3,2020-20
Gimcheon Sangmu FC,4,2020-20
Daegu FC,5,2020-20
Gangwon FC,6,2020-20
Suwon Bluewings,7,2020-20
Seongnam FC,8,2020-20
FC Seoul,9,2020-20
Incheon United,10,2020-20
Gwangju FC,11,2020-20
Busan I'Park,12,2020-20
Jeonbuk FC,1,2019-19
Ulsan Hyundai,2,2019-19
FC Seoul,3,2019-19
Pohang Steelers,4,2019-19
Daegu FC,5,2019-19
Gimcheon Sangmu FC,6,2019-19
Gangwon FC,7,2019-19
Suwon Bluewings,8,2019-19
Seongnam FC,9,2019-19
Incheon United,10,2019-19
Gyeongnam FC,11,2019-19
Jeju United,12,2019-19
Jeonbuk FC,1,2018-18
Gyeongnam FC,2,2018-18
Ulsan Hyundai,3,2018-18
Pohang Steelers,4,2018-18
Jeju United,5,2018-18
Suwon Bluewings,6,2018-18
Daegu FC,7,2018-18
Gangwon FC,8,2018-18
FC Seoul,9,2018-18
Gimcheon Sangmu FC,10,2018-18
Incheon United,11,2018-18
Jeonnam Dragons,12,2018-18
Jeonbuk FC,1,2017-17
Jeju United,2,2017-17
Suwon Bluewings,3,2017-17
Ulsan Hyundai,4,2017-17
FC Seoul,5,2017-17
Pohang Steelers,6,2017-17
Gangwon FC,7,2017-17
Daegu FC,8,2017-17
Incheon United,9,2017-17
Jeonnam Dragons,10,2017-17
Gimcheon Sangmu FC,11,2017-17
Gwangju FC,12,2017-17
Jeonbuk FC,1,2016-16
FC Seoul,2,2016-16
Jeju United,3,2016-16
Suwon FC,4,2016-16
Ulsan Hyundai,5,2016-16
Gwangju FC,6,2016-16
Jeonnam Dragons,7,2016-16
Pohang Steelers,8,2016-16
Seongnam FC,9,2016-16
Incheon United,10,2016-16
Gimcheon Sangmu FC,11,2016-16
Jeonbuk FC,1,2015-15
Suwon Bluewings,2,2015-15
Pohang Steelers,3,2015-15
FC Seoul,4,2015-15
Seongnam FC,5,2015-15
Ulsan Hyundai,6,2015-15
Incheon United,7,2015-15
Jeju United,8,2015-15
Jeonnam Dragons,9,2015-15
Gwangju FC,10,2015-15
Busan I'Park,11,2015-15
Daejeon Citizen,12,2015-15
Jeonbuk FC,1,2014-14
Suwon Bluewings,2,2014-14
FC Seoul,3,2014-14
Pohang Steelers,4,2014-14
Jeju United,5,2014-14
Jeonnam Dragons,6,2014-14
Ulsan Hyundai,7,2014-14
Busan I'Park,8,2014-14
Seongnam FC,9,2014-14
Incheon United,10,2014-14
Gyeongnam FC,11,2014-14
Gimcheon Sangmu FC,12,2014-14
Pohang Steelers,1,2013-13
Ulsan Hyundai,2,2013-13
Jeonbuk FC,3,2013-13
FC Seoul,4,2013-13
Seongnam FC,5,2013-13
Jeju United,6,2013-13
Suwon Bluewings,7,2013-13
Busan I'Park,8,2013-13
Incheon United,9,2013-13
Jeonnam Dragons,10,2013-13
Gyeongnam FC,11,2013-13
Gangwon FC,12,2013-13
Daegu FC,13,2013-13
Daejeon Citizen,14,2013-13
FC Seoul,1,2012-12
Jeonbuk FC,2,2012-12
Pohang Steelers,3,2012-12
Suwon Bluewings,4,2012-12
Ulsan Hyundai,5,2012-12
Incheon United,6,2012-12
Jeju United,7,2012-12
Daegu FC,8,2012-12
Busan I'Park,9,2012-12
Jeonnam Dragons,10,2012-12
Gyeongnam FC,11,2012-12
Daejeon Citizen,12,2012-12
Seongnam FC,13,2012-12
Gangwon FC,14,2012-12
Gwangju FC,15,2012-12
Gimcheon Sangmu FC,16,2012-12
Jeonbuk FC,1,2011-11
Pohang Steelers,2,2011-11
FC Seoul,3,2011-11
Suwon Bluewings,4,2011-11
Busan I'Park,5,2011-11
Ulsan Hyundai,6,2011-11
Gyeongnam FC,7,2011-11
Jeonnam Dragons,8,2011-11
Jeju United,9,2011-11
Seongnam FC,10,2011-11
Gwangju FC,11,2011-11
Daegu FC,12,2011-11
Incheon United,13,2011-11
Gimcheon Sangmu FC,14,2011-11
Daejeon Citizen,15,2011-11
Gangwon FC,16,2011-11
FC Seoul,1,2010-10
Jeju United,2,2010-10
Jeonbuk FC,3,2010-10
Seongnam FC,4,2010-10
Ulsan Hyundai,5,2010-10
Gyeongnam FC,6,2010-10
Suwon Bluewings,7,2010-10
Busan I'Park,8,2010-10
Pohang Steelers,9,2010-10
Jeonnam Dragons,10,2010-10
Incheon United,11,2010-10
Gangwon FC,12,2010-10
Daejeon Citizen,13,2010-10
Gimcheon Sangmu FC,14,2010-10
Daegu FC,15,2010-10
Jeonbuk FC,1,2009-09
Pohang Steelers,2,2009-09
FC Seoul,3,2009-09
Seongnam FC,4,2009-09
Incheon United,5,2009-09
Jeonnam Dragons,6,2009-09
Gyeongnam FC,7,2009-09
Ulsan Hyundai,8,2009-09
Daejeon Citizen,9,2009-09
Suwon Bluewings,10,2009-09
Gimcheon Sangmu FC,11,2009-09
Busan I'Park,12,2009-09
Gangwon FC,13,2009-09
Jeju United,14,2009-09
Daegu FC,15,2009-09
