team,pos,season
Las Palmas,1,2022-23
Levante,2,2022-23
Alavés,3,2022-23
Eibar,4,2022-23
Granada,5,2022-23
Albacete,6,2022-23
Burgos,7,2022-23
FC Cartagena,8,2022-23
Leganés,9,2022-23
Huesca,10,2022-23
Tenerife,11,2022-23
Villarreal B,12,2022-23
Sporting Gijón,13,2022-23
FC Andorra,14,2022-23
Real Oviedo,15,2022-23
Mirandés,16,2022-23
Real Zaragoza,17,2022-23
Racing Santander,18,2022-23
Ponferradina,19,2022-23
Málaga,20,2022-23
Lugo,21,2022-23
UD Ibiza,22,2022-23
Almería,1,2021-22
Real Valladolid,2,2021-22
Eibar,3,2021-22
Las Palmas,4,2021-22
Tenerife,5,2021-22
Girona,6,2021-22
Real Oviedo,7,2021-22
Ponferradina,8,2021-22
FC Cartagena,9,2021-22
Real Zaragoza,10,2021-22
Burgos,11,2021-22
Leganés,12,2021-22
Huesca,13,2021-22
Mirandés,14,2021-22
UD Ibiza,15,2021-22
Lugo,16,2021-22
Sporting Gijón,17,2021-22
Málaga,18,2021-22
Amorebieta,19,2021-22
Real Sociedad II,20,2021-22
Fuenlabrada,21,2021-22
AD Alcorcón,22,2021-22
Espanyol,1,2020-21
Mallorca,2,2020-21
Leganés,3,2020-21
Almería,4,2020-21
Girona,5,2020-21
Rayo Vallecano,6,2020-21
Sporting Gijón,7,2020-21
Ponferradina,8,2020-21
Las Palmas,9,2020-21
Mirandés,10,2020-21
Fuenlabrada,11,2020-21
Málaga,12,2020-21
Real Oviedo,13,2020-21
Tenerife,14,2020-21
Real Zaragoza,15,2020-21
FC Cartagena,16,2020-21
AD Alcorcón,17,2020-21
Lugo,18,2020-21
CD Sabadell,19,2020-21
UD Logroñés,20,2020-21
Castellón,21,2020-21
Albacete,22,2020-21
Huesca,1,2019-20
Cádiz,2,2019-20
Real Zaragoza,3,2019-20
Almería,4,2019-20
Girona,5,2019-20
Elche,6,2019-20
Rayo Vallecano,7,2019-20
Fuenlabrada,8,2019-20
Las Palmas,9,2019-20
AD Alcorcón,10,2019-20
Mirandés,11,2019-20
Tenerife,12,2019-20
Sporting Gijón,13,2019-20
Málaga,14,2019-20
Real Oviedo,15,2019-20
Lugo,16,2019-20
Albacete,17,2019-20
Ponferradina,18,2019-20
Deportivo La Coruña,19,2019-20
Numancia,20,2019-20
Extremadura UD,21,2019-20
Racing Santander,22,2019-20
Osasuna,1,2018-19
Granada,2,2018-19
Málaga,3,2018-19
Albacete,4,2018-19
Mallorca,5,2018-19
Deportivo La Coruña,6,2018-19
Cádiz,7,2018-19
Real Oviedo,8,2018-19
Sporting Gijón,9,2018-19
Almería,10,2018-19
Elche,11,2018-19
Las Palmas,12,2018-19
Extremadura UD,13,2018-19
AD Alcorcón,14,2018-19
Real Zaragoza,15,2018-19
Tenerife,16,2018-19
Numancia,17,2018-19
Lugo,18,2018-19
Rayo Majadahonda,19,2018-19
Gimnastic de Tarragona,20,2018-19
Córdoba,21,2018-19
Reus Deportiu,22,2018-19
Rayo Vallecano,1,2017-18
Huesca,2,2017-18
Real Zaragoza,3,2017-18
Sporting Gijón,4,2017-18
Real Valladolid,5,2017-18
Numancia,6,2017-18
Real Oviedo,7,2017-18
Osasuna,8,2017-18
Cádiz,9,2017-18
Granada,10,2017-18
Tenerife,11,2017-18
Lugo,12,2017-18
AD Alcorcón,13,2017-18
Reus Deportiu,14,2017-18
Gimnastic de Tarragona,15,2017-18
Córdoba,16,2017-18
Albacete,17,2017-18
Almería,18,2017-18
Cultural Leonesa,19,2017-18
Barcelona B,20,2017-18
La Hoya Lorca,21,2017-18
Sevilla Atletico,22,2017-18
Levante,1,2016-17
Girona,2,2016-17
Getafe,3,2016-17
Tenerife,4,2016-17
Cádiz,5,2016-17
Huesca,6,2016-17
Real Valladolid,7,2016-17
Real Oviedo,8,2016-17
Lugo,9,2016-17
Córdoba,10,2016-17
Reus Deportiu,11,2016-17
Rayo Vallecano,12,2016-17
Sevilla Atletico,13,2016-17
Gimnastic de Tarragona,14,2016-17
Almería,15,2016-17
Real Zaragoza,16,2016-17
Numancia,17,2016-17
AD Alcorcón,18,2016-17
UCAM Murcia,19,2016-17
Mallorca,20,2016-17
Elche,21,2016-17
Mirandés,22,2016-17
Alavés,1,2015-16
Leganés,2,2015-16
Gimnastic de Tarragona,3,2015-16
Girona,4,2015-16
Córdoba,5,2015-16
Osasuna,6,2015-16
AD Alcorcón,7,2015-16
Real Zaragoza,8,2015-16
Real Oviedo,9,2015-16
Numancia,10,2015-16
Elche,11,2015-16
Huesca,12,2015-16
Tenerife,13,2015-16
