team,pos,season
O'Higgins,1,2023-23
Universidad Católica,2,2023-23
Huachipato,3,2023-23
Ñublense,4,2023-23
Curicó Unido,5,2023-23
Palestino,6,2023-23
Audax Italiano La Florida,7,2023-23
Coquimbo Unido,8,2023-23
Unión La Calera,9,2023-23
Cobresal,10,2023-23
Colo Colo,11,2023-23
Universidad de Chile,12,2023-23
CD Magallanes,13,2023-23
Unión Española,14,2023-23
Everton CD,15,2023-23
Deportes Copiapó,16,2023-23
Colo Colo,1,2022-22
Ñublense,2,2022-22
Curicó Unido,3,2022-22
Universidad Católica,4,2022-22
Cobresal,5,2022-22
Audax Italiano La Florida,6,2022-22
O'Higgins,7,2022-22
Palestino,8,2022-22
Everton CD,9,2022-22
Unión Española,10,2022-22
Unión La Calera,11,2022-22
Huachipato,12,2022-22
Universidad de Chile,13,2022-22
Coquimbo Unido,14,2022-22
Deportes La Serena,15,2022-22
CD Antofagasta,16,2022-22
Universidad Católica,1,2021-21
Colo Colo,2,2021-21
Audax Italiano La Florida,3,2021-21
Unión La Calera,4,2021-21
Unión Española,5,2021-21
CD Antofagasta,6,2021-21
Ñublense,7,2021-21
Palestino,8,2021-21
Cobresal,9,2021-21
Deportes La Serena,10,2021-21
Universidad de Chile,11,2021-21
Everton CD,12,2021-21
O'Higgins,13,2021-21
Melipilla,14,2021-21
Curicó Unido,15,2021-21
Huachipato,16,2021-21
Santiago Wanderers,17,2021-21
Universidad Católica,1,2020-20
Unión La Calera,2,2020-20
Universidad de Chile,3,2020-20
Unión Española,4,2020-20
Palestino,5,2020-20
Curicó Unido,6,2020-20
CD Antofagasta,7,2020-20
Cobresal,8,2020-20
Huachipato,9,2020-20
O'Higgins,10,2020-20
Santiago Wanderers,11,2020-20
Everton CD,12,2020-20
Audax Italiano La Florida,13,2020-20
Universidad Concepción,14,2020-20
Deportes La Serena,15,2020-20
Colo Colo,16,2020-20
Deportes Iquique,17,2020-20
Coquimbo Unido,18,2020-20
Universidad Católica,1,2019-19
Colo Colo,2,2019-19
Palestino,3,2019-19
Unión La Calera,4,2019-19
Coquimbo Unido,5,2019-19
Huachipato,6,2019-19
Audax Italiano La Florida,7,2019-19
O'Higgins,8,2019-19
Unión Española,9,2019-19
Cobresal,10,2019-19
Everton CD,11,2019-19
CD Antofagasta,12,2019-19
Curicó Unido,13,2019-19
Universidad de Chile,14,2019-19
Deportes Iquique,15,2019-19
Universidad Concepción,16,2019-19
Universidad Católica,1,2018-18
Universidad Concepción,2,2018-18
Universidad de Chile,3,2018-18
CD Antofagasta,4,2018-18
Unión La Calera,5,2018-18
Unión Española,6,2018-18
O'Higgins,7,2018-18
Colo Colo,8,2018-18
Huachipato,9,2018-18
Audax Italiano La Florida,10,2018-18
Everton CD,11,2018-18
Palestino,12,2018-18
Curicó Unido,13,2018-18
Deportes Iquique,14,2018-18
Deportes Temuco,15,2018-18
San Luis,16,2018-18
Colo Colo,1,2017-17
Unión Española,2,2017-17
Universidad de Chile,3,2017-17
Everton CD,4,2017-17
Audax Italiano La Florida,5,2017-17
Deportes Temuco,6,2017-17
CD Antofagasta,7,2017-17
Curicó Unido,8,2017-17
San Luis,9,2017-17
Universidad Concepción,10,2017-17
Universidad Católica,11,2017-17
Huachipato,12,2017-17
Santiago Wanderers,13,2017-17
O'Higgins,14,2017-17
Palestino,15,2017-17
Deportes Iquique,16,2017-17
Universidad de Chile,1,2017-17
Colo Colo,2,2017-17
Universidad Concepción,3,2017-17
Universidad Católica,4,2017-17
Unión Española,5,2017-17
Deportes Iquique,6,2017-17
Audax Italiano La Florida,7,2017-17
O'Higgins,8,2017-17
Deportes Temuco,9,2017-17
Everton CD,10,2017-17
CD Antofagasta,11,2017-17
San Luis,12,2017-17
Huachipato,13,2017-17
Palestino,14,2017-17
Santiago Wanderers,15,2017-17
Cobresal,16,2017-17
Universidad Católica,1,2016-16
Deportes Iquique,2,2016-16
Unión Española,3,2016-16
O'Higgins,4,2016-16
Colo Colo,5,2016-16
Palestino,6,2016-16
Universidad de Chile,7,2016-16
San Luis,8,2016-16
CD Antofagasta,9,2016-16
Huachipato,10,2016-16
Santiago Wanderers,11,2016-16
Deportes Temuco,12,2016-16
Cobresal,13,2016-16
Audax Italiano La Florida,14,2016-16
Everton CD,15,2016-16
Universidad Concepción,16,2016-16
O'Higgins,1,2016-16
Universidad Católica,2,2016-16
Colo Colo,3,2016-16
Santiago Wanderers,4,2016-16
